"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","91687","Close pane","ctrl+shift+f4","ctrl+shift+f4","Spyder","Global","ctrl shift"
"","91688","Lock unlock panes","ctrl+shift+f5","ctrl+shift+f5","Spyder","Global","ctrl shift"
"","91689","Use next layout","alt+shift+pagedown","alt+shift+pagedown","Spyder","Global","alt shift"
"","91690","Use previous layout","alt+shift+pageup","alt+shift+pageup","Spyder","Global","alt shift"
"","91691","Preferences","ctrl+alt+shift+p","ctrl+alt+shift+p","Spyder","Global","ctrl alt shift"
"","91692","Maximize pane","ctrl+alt+shift+m","ctrl+alt+shift+m","Spyder","Global","ctrl alt shift"
"","91693","Fullscreen mode","f11","f11","Spyder","Global","None"
"","91694","Save current layout","alt+shift+s","alt+shift+s","Spyder","Global","alt shift"
"","91695","Layout preferences","alt+shift+p","alt+shift+p","Spyder","Global","alt shift"
"","91696","Show toolbars","alt+shift+t","alt+shift+t","Spyder","Global","alt shift"
"","91697","Spyder documentation","f1","f1","Spyder","Global","None"
"","91698","Restart","alt+shift+r","alt+shift+r","Spyder","Global","alt shift"
"","91699","Quit","ctrl+q","ctrl+q","Spyder","Global","ctrl"
"","91700","Code completion","ctrl+space","ctrl+space","Spyder","Editor","ctrl"
"","91701","Duplicate line up","ctrl+alt+up","alt+shift+up","Spyder","Editor","ctrl alt"
"","91702","Duplicate line down","ctrl+alt+down","alt+shift+down","Spyder","Editor","ctrl alt"
"","91703","Delete line","ctrl+d","ctrl+d","Spyder","Editor","ctrl"
"","91704","Transform to uppercase","ctrl+shift+u","ctrl+shift+u","Spyder","Editor","ctrl shift"
"","91705","Transform to lowercase","ctrl+u","ctrl+u","Spyder","Editor","ctrl"
"","91706","Indent","ctrl+]","ctrl+]","Spyder","Editor","ctrl"
"","91707","Unindent","ctrl+[","ctrl+[","Spyder","Editor","ctrl"
"","91708","Move line up","alt+up","alt+up","Spyder","Editor","alt"
"","91709","Move line down","alt+down","alt+down","Spyder","Editor","alt"
