"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","80707","Superhuman Command","n/A","cmd+k","Superhuman","Actions","cmd"
"","80708","Search","n/A","/","Superhuman","Actions","None"
"","80709","Undo","n/A","z","Superhuman","Actions","None"
"","80710","Shortcuts","n/A","?","Superhuman","Actions","None"
"","80711","Select Conversation","n/A","x","Superhuman","Actions","None"
"","80712","Add Selection Left","n/A","shift+j","Superhuman","Actions","shift"
"","80713","Add Selection Right","n/A","shift+k","Superhuman","Actions","shift"
"","80714","Clear Selection","n/A","esc","Superhuman","Actions","None"
"","80715","Select all from here","n/A","cmd+a","Superhuman","Actions","cmd"
"","80716","Select all","n/A","shift+cmd+a","Superhuman","Actions","shift cmd"
"","80717","Mark Done (Archive)","n/A","e","Superhuman","Conversations","None"
"","80718","Mark Not Done","n/A","shift+e","Superhuman","Conversations","shift"
"","80719","Remind Me (Snooze)","n/A","h","Superhuman","Conversations","None"
"","80720","Star","n/A","s","Superhuman","Conversations","None"
"","80721","Mark Read or Unread","n/A","u","Superhuman","Conversations","None"
"","80722","Trash","n/A","#","Superhuman","Conversations","None"
"","80723","Mark Spam","n/A","!","Superhuman","Conversations","None"
"","80724","Mute","n/A","shift+m","Superhuman","Conversations","shift"
"","80725","Unsubscribe","n/A","cmd+u","Superhuman","Conversations","cmd"
"","80726","Compose","n/A","c","Superhuman","Messages","None"
"","80727","Reply All","n/A","enter","Superhuman","Messages","None"
"","80728","Reply","n/A","r","Superhuman","Messages","None"
"","80729","Forward","n/A","f","Superhuman","Messages","None"
"","80730","Open Links & Attachments","n/A","cmd+o","Superhuman","Messages","cmd"
"","80731","Cycle through Links & Dates","n/A","tab","Superhuman","Messages","None"
"","80732","Expand Message","n/A","o","Superhuman","Messages","None"
"","80733","Expand All Messages","n/A","shift+o","Superhuman","Messages","shift"
"","80734","Go to Inbox / Important","n/A","g i","Superhuman","Folders","None"
"","80735","Go to Other","n/A","g o","Superhuman","Folders","None"
"","80736","Go to Starred","n/A","g s","Superhuman","Folders","None"
"","80737","Go to Sent Mail","n/A","g t","Superhuman","Folders","None"
"","80738","Go to Done","n/A","g e","Superhuman","Folders","None"
"","80739","Go to Reminders","n/A","g h","Superhuman","Folders","None"
"","80740","Go to Muted","n/A","g m","Superhuman","Folders","None"
"","80741","Go to Snippets","n/A","g ;","Superhuman","Folders","None"
"","80742","Go to Spam","n/A","g !","Superhuman","Folders","None"
"","80743","Go to Trash","n/A","g #","Superhuman","Folders","None"
"","80744","Go to All Mail","n/A","g a","Superhuman","Folders","None"
"","80745","Go to Label","n/A","g l","Superhuman","Folders","None"
"","80746","Add or Remove Label","n/A","l","Superhuman","Labels","None"
"","80747","Remove Label","n/A","y","Superhuman","Labels","None"
"","80748","Remove Label, Next","n/A","[","Superhuman","Labels","None"
"","80749","Remove Label, Previous","n/A","]","Superhuman","Labels","None"
"","80750","Remove All Labels","n/A","shift+y","Superhuman","Labels","shift"
"","80751","Move","n/A","v","Superhuman","Labels","None"
"","80752","Unread","n/A","shift+u","Superhuman","Filters","shift"
"","80753","Starred","n/A","shift+s","Superhuman","Filters","shift"
"","80754","Important","n/A","shift+i","Superhuman","Filters","shift"
"","80755","No Reply","n/A","shift+r","Superhuman","Filters","shift"
"","80756","Toggle Calendar","n/A","0","Superhuman","Calendar","None"
"","80757","Previous Day","n/A","-","Superhuman","Calendar","None"
"","80758","Next Day","n/A","=","Superhuman","Calendar","None"
"","80759","Create Event","n/A","b","Superhuman","Calendar","None"
"","80760","Bold","n/A","cmd+b","Superhuman","Format","cmd"
"","80761","Italics","n/A","cmd+i","Superhuman","Format","cmd"
"","80762","Underline","n/A","cmd+u","Superhuman","Format","cmd"
"","80763","Hyperlink","n/A","cmd+k","Superhuman","Format","cmd"
"","80764","Color","n/A","cmd+o","Superhuman","Format","cmd"
"","80765","Strikethrough","n/A","shift+cmd+x","Superhuman","Format","shift cmd"
"","80766","Numbers","n/A","shift+cmd+7","Superhuman","Format","shift cmd"
"","80767","Bullets","n/A","shift+cmd+8","Superhuman","Format","shift cmd"
