"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","350491","Jump Projects","ctrl+k","cmd+k","Taskade","General","ctrl"
"","350492","Search within project","ctrl+f","cmd+f","Taskade","General","ctrl"
"","350493","Toggle chat box","ctrl+\","cmd+\","Taskade","General","ctrl"
"","350494","Open Add On Menu","ctrl+/","cmd+/","Taskade","General","ctrl"
"","350495","Open More Menu","ctrl+'","cmd+'","Taskade","General","ctrl"
"","350496","Bold","ctrl+b","cmd+b","Taskade","Formatting","ctrl"
"","350497","Italic","ctrl+i","cmd+i","Taskade","Formatting","ctrl"
"","350498","Underline","ctrl+u","cmd+u","Taskade","Formatting","ctrl"
"","350499","Strikethrough (Mark Complete)","ctrl+enter","cmd+enter","Taskade","Formatting","ctrl"
"","350500","Highlight","ctrl+e","cmd+e","Taskade","Formatting","ctrl"
"","350501","Line break / new task","enter","enter","Taskade","Editing","None"
"","350502","Indent task / move right","tab","tab","Taskade","Editing","None"
"","350503","Outdent / move left","shift+tab","shift+tab","Taskade","Editing","shift"
"","350504","Complete/uncomplete a task","ctrl+enter","cmd+enter","Taskade","Editing","ctrl"
"","350505","Delete entire task","ctrl+shift+del","shift+cmd+del","Taskade","Editing","ctrl shift"
"","350506","Collapse (fold) a task with sub-tasks","ctrl+up","cmd+up","Taskade","Editing","ctrl"
"","350507","Expand (unfold) a task with sub-tasks","ctrl+up/down","cmd+up/down","Taskade","Editing","ctrl"
"","350508","Mention","""@""","""@""","Taskade","Editing","Text Snippet"
"","350509","Tag","""#""","""#""","Taskade","Editing","Text Snippet"
"","350510","Navigate up and down","up or down","up or down","Taskade","Editing","None"
"","350511","Delete text or entire task","backspace","backspace","Taskade","Editing","None"
"","350512","Navigate left and right","left or right","left or right","Taskade","Editing","None"
"","350513","Duplicate","ctrl+d","cmd+d","Taskade","Editing","ctrl"
"","350514","Undo","ctrl+z","cmd+z","Taskade","Editing","ctrl"
"","350515","Redo","ctrl+shift+z","shift+cmd+z","Taskade","Editing","ctrl shift"
"","350516","Zoom out (Mind Map and Org chart view)","ctrl+-","cmd+-","Taskade","Views","ctrl"
"","350517","Zoom in (Mind Map and Org chart view)","ctrl+plus","cmd+plus","Taskade","Views","ctrl"
"","350518","Toggle next view","ctrl+shift+>","shift+cmd+>","Taskade","Views","ctrl shift"
"","350519","Toggle previous view","ctrl+shift+<","shift+cmd+<","Taskade","Views","ctrl shift"
"","350520","Open Add On Menu","ctrl+/","cmd+/","Taskade","Add On Menu","ctrl"
"","350521","Due Date","d","d","Taskade","Add On Menu","None"
"","350522","Assign","a","a","Taskade","Add On Menu","None"
"","350523","Comment","c","c","Taskade","Add On Menu","None"
"","350524","Attach File","f","f","Taskade","Add On Menu","None"
"","350525","Embed","e","e","Taskade","Add On Menu","None"
"","350526","Soundcloud (Embed)","s","s","Taskade","Add On Menu","None"
"","350527","Vimeo (Embed)","v","v","Taskade","Add On Menu","None"
"","350528","Youtube (Embed)","y","y","Taskade","Add On Menu","None"
"","350529","Wistia (Embed)","w","w","Taskade","Add On Menu","None"
"","350530","Figma/Jam (Embed)","g","g","Taskade","Add On Menu","None"
"","350531","Start to input a Slash command","""/""","""/""","Taskade","Slash Commands","Text Snippet"
"","350532","Set due date to today","""today""","""today""","Taskade","Slash Commands","Text Snippet"
"","350533","Set due date to tomorrow","""tomorrow""","""tomorrow""","Taskade","Slash Commands","Text Snippet"
"","350534","Set due date to next week","""next week""","""next week""","Taskade","Slash Commands","Text Snippet"
"","350535","Assing myself to current task","""assign myself""","""assign myself""","Taskade","Slash Commands","Text Snippet"
"","350536","Add comment","""comment""","""comment""","Taskade","Slash Commands","Text Snippet"
"","350537","Embed link","""embed""","""embed""","Taskade","Slash Commands","Text Snippet"
"","350538","Upload from computer","""computer""","""computer""","Taskade","Slash Commands","Text Snippet"
"","350539","Upload from Google Drive","""google drive""","""google drive""","Taskade","Slash Commands","Text Snippet"
"","350540","Upload from Dropbox","""dropbox""","""dropbox""","Taskade","Slash Commands","Text Snippet"
"","350541","Upload from Instagram","""instagram""","""instagram""","Taskade","Slash Commands","Text Snippet"
"","350542","Upload from Box","""box""","""box""","Taskade","Slash Commands","Text Snippet"
"","350543","Turn list to use squared checkboxes","""check 1""","""check 1""","Taskade","Slash Commands","Text Snippet"
"","350544","Turn list to use round checkboxes","""check 2""","""check 2""","Taskade","Slash Commands","Text Snippet"
"","350545","Turn list to use heart-shaped checkboxes","""check 3""","""check 3""","Taskade","Slash Commands","Text Snippet"
"","350546","Turn list to use round bullets","""bullet 1""","""bullet 1""","Taskade","Slash Commands","Text Snippet"
"","350547","Turn list to use triange-shpaed bullets","""bullet 2""","""bullet 2""","Taskade","Slash Commands","Text Snippet"
"","350548","Turn list to use squared bullets","""bullet 3""","""bullet 3""","Taskade","Slash Commands","Text Snippet"
"","350549","Turn to numbered list","""number""","""number""","Taskade","Slash Commands","Text Snippet"
"","350550","Turn to letter-indexed list","""letter""","""letter""","Taskade","Slash Commands","Text Snippet"
"","350551","Turn list to paragraph","""paragraph""","""paragraph""","Taskade","Slash Commands","Text Snippet"
"","350552","Higlight/Underline current task yellow","""higlight yellow""","""higlight yellow""","Taskade","Slash Commands","Text Snippet"
"","350553","Higlight/Underline current task green","""higlight green""","""higlight green""","Taskade","Slash Commands","Text Snippet"
"","350554","Higlight/Underline current task blue","""higlight blue""","""higlight blue""","Taskade","Slash Commands","Text Snippet"
"","350555","Higlight/Underline current task purple","""higlight purple""","""higlight purple""","Taskade","Slash Commands","Text Snippet"
"","350556","Higlight/Underline current task red","""higlight red""","""higlight red""","Taskade","Slash Commands","Text Snippet"
"","350557","Duplicate current task","""duplicate task""","""duplicate task""","Taskade","Slash Commands","Text Snippet"
"","350558","Add task above current task","""add task above""","""add task above""","Taskade","Slash Commands","Text Snippet"
"","350559","Add task below current task","""add task below""","""add task below""","Taskade","Slash Commands","Text Snippet"
"","350560","Copy link to task","""copy link to task""","""copy link to task""","Taskade","Slash Commands","Text Snippet"
"","350561","Complete task","""complete""","""complete""","Taskade","Slash Commands","Text Snippet"
"","350562","Delete task","""delete""","""delete""","Taskade","Slash Commands","Text Snippet"
"","350563","Add like emoji reaction","""like""","""like""","Taskade","Slash Commands","Text Snippet"
"","350564","Add dislike emoji reaction","""dislike""","""dislike""","Taskade","Slash Commands","Text Snippet"
"","350565","Add laught emoji reaction","""laugh""","""laugh""","Taskade","Slash Commands","Text Snippet"
"","350566","Add party emoji reaction","""party""","""party""","Taskade","Slash Commands","Text Snippet"
"","350567","Add heart emoji reaction","""heart""","""heart""","Taskade","Slash Commands","Text Snippet"
"","350568","Add rocket emoji reaction","""rocket""","""rocket""","Taskade","Slash Commands","Text Snippet"
"","350569","Set 15 minutes timer","""15 minutes""","""15 minutes""","Taskade","Slash Commands","Text Snippet"
"","350570","Set 25 minutes timer","""25 minutes""","""25 minutes""","Taskade","Slash Commands","Text Snippet"
"","350571","Set 30 minutes timer","""30 minutes""","""30 minutes""","Taskade","Slash Commands","Text Snippet"
"","350572","Set 1 hour timer","""1 hour""","""1 hour""","Taskade","Slash Commands","Text Snippet"
"","350573","Set 2 hours timer","""2 hours""","""2 hours""","Taskade","Slash Commands","Text Snippet"
