"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","151867","Move Up","up","up","TeamCity","General","None"
"","151868","Move Down","down","down","TeamCity","General","None"
"","151869","Expand Changes","right","right","TeamCity","General","None"
"","151870","Collapse Changes","left","left","TeamCity","General","None"
"","151871","Tags","t","t","TeamCity","General","None"
"","151872","Labels","l","l","TeamCity","General","None"
"","151873","Magic Keyword","""$'Keyword'""","""$'Keyword'""","TeamCity","General","Text Snippet"
"","151874","Searching among Project Names","p","p","TeamCity","Searching","None"
"","151875","Searching Projects and Build Configuration in Same Project","j","j","TeamCity","Searching","None"
"","151876","Searching Project and Build Configuration","q","q","TeamCity","Searching","None"
"","151877","Search for Specified Build Number","""#""","""#""","TeamCity","Searching","Text Snippet"
"","151878","Find all Builds that were run on Specified Agent","""@""","""@""","TeamCity","Searching","Text Snippet"
