"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Teams","69722","Show keyboard shortcuts","ctrl+.","cmd+.","Teams","General","ctrl"
"Teams","69723","Go to Search","ctrl+e","cmd+e","Teams","General","ctrl"
"Teams","69724","Show commands","ctrl+/","cmd+/","Teams","General","ctrl"
"Teams","69725","Goto","ctrl+g or ctrl+shift+g","cmd+g or shift+cmd+g","Teams","General","ctrl shift"
"Teams","69726","Start a new chat","ctrl+n or alt+n","cmd+n or alt+n","Teams","General","ctrl alt"
"Teams","69727","Open Settings","ctrl+,","cmd+, or shift+cmd+,","Teams","General","ctrl"
"Teams","69728","Open Help","f1 or ctrl+f1","f1 or cmd+f1","Teams","General","ctrl"
"Teams","69729","Close","esc","esc","Teams","General","None"
"Teams","69730","Zoom in","ctrl+=","cmd+=","Teams","General","ctrl"
"Teams","69731","Zoom out","ctrl+-","cmd+-","Teams","General","ctrl"
"Teams","69732","Return to default zoom","n/a","cmd+0","Teams","General","None"
"Teams","69733","Open Activity","ctrl+1 or ctrl+shift+1","cmd+1 or shift+cmd+1","Teams","Navigation","ctrl shift"
"Teams","69734","Open Chat","ctrl+2 or ctrl+shift+2","cmd+2 or shift+cmd+2","Teams","Navigation","ctrl shift"
"Teams","69735","Open Teams","ctrl+3 or ctrl+shift+3","cmd+3 or shift+cmd+3","Teams","Navigation","ctrl shift"
"Teams","69736","Open Calendar","ctrl+4 or ctrl+shift+4","cmd+4 or shift+cmd+4","Teams","Navigation","ctrl shift"
"Teams","69737","Open Calls","ctrl+5 or ctrl+shift+5","cmd+5 or shift+cmd+5","Teams","Navigation","ctrl shift"
"Teams","69738","Open Files","ctrl+6 or ctrl+shift+6","cmd+6 or shift+cmd+6","Teams","Navigation","ctrl shift"
"Teams","69739","Go to previous list item","alt+up","alt+up","Teams","Navigation","alt"
"Teams","69740","Go to next list item","alt+down","alt+down","Teams","Navigation","alt"
"Teams","69741","Move selected team up","ctrl+shift+up","shift+cmd+up","Teams","Navigation","ctrl shift"
"Teams","69742","Move selected team down","ctrl+shift+down","shift+cmd+down","Teams","Navigation","ctrl shift"
"Teams","69743","Go to previous section","ctrl+shift+f6","shift+cmd+f6","Teams","Navigation","ctrl shift"
"Teams","69744","Go to next section","ctrl+f6","cmd+f6","Teams","Navigation","ctrl"
"Teams","69745","Go to compose box","alt+shift+c","alt+shift+c","Teams","Messaging","alt shift"
"Teams","69746","Expand compose box","ctrl+shift+x","shift+cmd+x","Teams","Messaging","ctrl shift"
"Teams","69747","Send (expanded compose box)","ctrl+enter","cmd+enter","Teams","Messaging","ctrl"
"Teams","69748","Attach file","ctrl+o or ctrl+shift+o","cmd+o or shift+cmd+o","Teams","Messaging","ctrl shift"
"Teams","69749","Start new line","shift+enter","shift+enter","Teams","Messaging","shift"
"Teams","69750","Reply to thread","alt+shift+r","alt+shift+r","Teams","Messaging","alt shift"
"Teams","69751","Mark as important","ctrl+shift+i","n/a","Teams","Messaging","ctrl shift"
"Teams","69752","Accept video call","ctrl+shift+a","shift+cmd+a","Teams","Meetings and Calls","ctrl shift"
"Teams","69753","Accept audio call","ctrl+shift+s","shift+cmd+s","Teams","Meetings and Calls","ctrl shift"
"Teams","69754","Decline call","ctrl+shift+d","shift+cmd+d","Teams","Meetings and Calls","ctrl shift"
"Teams","69755","Start audio call","ctrl+shift+c","shift+cmd+c","Teams","Meetings and Calls","ctrl shift"
"Teams","69756","Start video call","ctrl+shift+u","shift+cmd+u","Teams","Meetings and Calls","ctrl shift"
"Teams","69757","Toggle mute","ctrl+shift+m","shift+cmd+m","Teams","Meetings and Calls","ctrl shift"
"Teams","69758","Toggle video","ctrl+shift+o","shift+cmd+o","Teams","Meetings and Calls","ctrl shift"
"Teams","69759","Filter current list","ctrl+shift+f","n/a","Teams","Meetings and Calls","ctrl shift"
"Teams","69760","Go to sharing toolbar","ctrl+shift+space","shift+cmd+space","Teams","Meetings and Calls","ctrl shift"
"Teams","69761","Toggle fullscreen","f11","shift+cmd+f","Teams","Meetings and Calls","None"
