"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Thunderbird","71797","New message","ctrl+n or ctrl+m","cmd+n","Thunderbird","New Messages","ctrl"
"Thunderbird","71798","Reply to Message (sender only)","ctrl+r","cmd+r","Thunderbird","New Messages","ctrl"
"Thunderbird","71799","Reply to All in Message (sender and all recipients)","ctrl+shift+r","shift+cmd+r","Thunderbird","New Messages","ctrl shift"
"Thunderbird","71800","Reply to List","ctrl+shift+l","shift+cmd+l","Thunderbird","New Messages","ctrl shift"
"Thunderbird","71801","Forward Message","ctrl+l","cmd+l","Thunderbird","New Messages","ctrl"
"Thunderbird","71802","Edit Message as New","ctrl+e","cmd+e","Thunderbird","New Messages","ctrl"
"Thunderbird","71803","Get New Messages for Current Account","f5 or f9","f5 or cmd+y","Thunderbird","New Messages","None"
"Thunderbird","71804","Get New Messages for All Accounts","shift+f5 or shift+f9","shift+f5 or shift+cmd+y","Thunderbird","New Messages","shift"
"Thunderbird","71805","Open message (in new window or tab)","ctrl+o or enter","cmd+o or enter","Thunderbird","New Messages","ctrl"
"Thunderbird","71806","Open message in conversation","ctrl+shift+o","shift+cmd+o","Thunderbird","New Messages","ctrl shift"
"Thunderbird, Thunderbird","71807","Zoom In","ctrl+plus or ctrl+=","cmd+plus or cmd+=","Thunderbird","New Messages","ctrl"
"Thunderbird, Thunderbird","71808","Zoom Out","ctrl+-","cmd+-","Thunderbird","New Messages","ctrl"
"Thunderbird, Thunderbird","71809","Reset Zoom","ctrl+0","cmd+0","Thunderbird","New Messages","ctrl"
"Thunderbird","71810","Expand Collapsed Thread","right","right","Thunderbird","New Messages","None"
"Thunderbird","71811","Collapse Expanded Thread","left","left","Thunderbird","New Messages","None"
"Thunderbird","71812","Expand All Threads","*","*","Thunderbird","New Messages","None"
"Thunderbird","71813","Collapse All Threads","\","\","Thunderbird","New Messages","None"
"Thunderbird","71814","Newsgroups: Ignore or Unignore Thread","k","k","Thunderbird","New Messages","None"
"Thunderbird","71815","Newsgroups: Ignore or Unignore Subthread","shift+k","shift+k","Thunderbird","New Messages","shift"
"Thunderbird","71816","Newsgroups: Watch Thread","w","w","Thunderbird","New Messages","None"
"Thunderbird","71817","Print message or selected message text","ctrl+p","cmd+p","Thunderbird","Manage Messages","ctrl"
"Thunderbird","71818","Save Message as File","ctrl+s","cmd+s","Thunderbird","Manage Messages","ctrl"
"Thunderbird","71819","View Message Source","ctrl+u","cmd+u","Thunderbird","Manage Messages","ctrl"
"Thunderbird","71820","Select All (messages, text, or attachments)","ctrl+a","cmd+a","Thunderbird","Manage Messages","ctrl"
"Thunderbird","71821","Select Thread","ctrl+shift+a","shift+cmd+a","Thunderbird","Manage Messages","ctrl shift"
"Thunderbird","71822","Toggle Caret browsing (select text with keyboard)","f7","f7","Thunderbird","Manage Messages","None"
"Thunderbird","71823","Copy selected text","ctrl+c","cmd+c","Thunderbird","Manage Messages","ctrl"
"Thunderbird","71824","Cut selected search text","ctrl+x","cmd+x","Thunderbird","Manage Messages","ctrl"
"Thunderbird","71825","Paste text into search or filter fields","ctrl+v","cmd+v","Thunderbird","Manage Messages","ctrl"
"Thunderbird","71826","Move/Copy message to previous target folder Again","ctrl+shift+m","alt+cmd+m","Thunderbird","Manage Messages","ctrl shift"
"Thunderbird","71827","Archive Message","a","a","Thunderbird","Manage Messages","None"
"Thunderbird","71828","Delete selected element","del","del","Thunderbird","Manage Messages","None"
"Thunderbird","71829","Delete message bypassing trash (no Undo!)","shift+del","shift+del","Thunderbird","Manage Messages","shift"
"Thunderbird, Thunderbird, Thunderbird","71830","Undo","ctrl+z","cmd+z","Thunderbird","Manage Messages","ctrl"
"Thunderbird, Thunderbird, Thunderbird","71831","Redo","ctrl+y","cmd+y","Thunderbird","Manage Messages","ctrl"
"Thunderbird","71832","Rename Folder","f2","n/a","Thunderbird","Manage Messages","None"
"Thunderbird","71833","Add/Remove Tag","1 or 2 or 9","1 or 2 or 9","Thunderbird","Manage Messages","None"
"Thunderbird","71834","Remove All Tags from Message","0","0","Thunderbird","Manage Messages","None"
