"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Todoist","83719","Show/hide Todoist","n/a","ctrl+cmd+t","Todoist","Global","None"
"Todoist","83720","Open task Quick Add","n/a","ctrl+cmd+a","Todoist","Global","None"
"Todoist","83721","Add a label","""@""","""@""","Todoist","Quick Add","Text Snippet"
"Todoist","83722","Pick a project","""#""","""#""","Todoist","Quick Add","Text Snippet"
"Todoist","83723","Pick a section","""/""","""/""","Todoist","Quick Add","Text Snippet"
"Todoist","83724","Add an assignee","""+""","""+""","Todoist","Quick Add","Text Snippet"
"Todoist","83725","Set priority level 4","""p4""","""p4""","Todoist","Quick Add","Text Snippet"
"Todoist","83726","Save and go to comments","alt+enter","n/a","Todoist","Quick Add","alt"
"Todoist","83727","Open full task editor","tab","n/a","Todoist","Quick Add","None"
"Todoist","83728","Open or close menu","m","m","Todoist","General","None"
"Todoist","83729","Go to start page","n/a","h","Todoist","General","None"
"Todoist","83730","Select and change multiple tasks at once","shift+click","cmd+click or shift+click","Todoist","General","shift"
"Todoist","83731","Enter multi-select mode","m","n/a","Todoist","General","None"
"Todoist","83732","Add a task (with Quick Add)","q","q","Todoist","General","None"
"Todoist","83733","Add a task at the bottom of the list","a","a","Todoist","General","None"
"Todoist","83734","Add a task at the top of the list","shift+a","shift+a","Todoist","General","shift"
"Todoist","83735","Add a section","s","s","Todoist","General","None"
"Todoist","83736","Open search","ctrl+f","/ or f","Todoist","General","ctrl"
"Todoist","83737","Switch to the Board view","n/a","shift+v","Todoist","General","None"
"Todoist","83738","Manually sync","f5","n/a","Todoist","General","None"
"Todoist","83739","Navigate to default page","home","n/a","Todoist","General","None"
"Todoist","83740","Navigate to previous view","pageup","n/a","Todoist","General","None"
"Todoist","83741","Edit task name","alt+click","alt+click","Todoist","General","alt"
"Todoist","83742","Cancel current changes","esc","esc","Todoist","General","None"
"Todoist","83743","Save a newly created task and create a new one below it","enter","enter","Todoist","General","None"
"Todoist","83744","Save changes to an existing task and create a new task below it","n/a","shift+enter","Todoist","General","None"
"Todoist","83745","Save a new task or save changes to an existing one and create a new task above it","n/a","ctrl+enter","Todoist","General","None"
"Todoist","83746","Move to the task above the task currently being edited (inside projects)","n/a","cmd+up","Todoist","General","None"
"Todoist","83747","Move to the task below the task currently being edited (inside projects)","n/a","cmd+down","Todoist","General","None"
"Todoist","83748","Increase task indent (inside projects)","alt+shift+right","cmd+right","Todoist","Sub-tasks","alt shift"
"Todoist","83749","Decrease task indent (inside projects)","alt+shift+left","cmd+left","Todoist","Sub-tasks","alt shift"
"Todoist","83750","Sort by date","d","d","Todoist","Sub-tasks","None"
"Todoist","83751","Sort by priority","p","p","Todoist","Sub-tasks","None"
"Todoist","83752","Sort by name","n","n","Todoist","Sub-tasks","None"
"Todoist","83753","Sort by assignee","r","r","Todoist","Sub-tasks","None"
