"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","91538","Open new window","ctrl+n","cmd+n","Tower","General","ctrl"
"","91539","Show ""Quick Open"" dialog","ctrl+o","shift+cmd+o","Tower","General","ctrl"
"","91540","Show ""Quick Actions"" dialog","n/a","shift+cmd+a","Tower","General","None"
"","91541","Open external diff tool for current view","ctrl+d","shift+cmd+d","Tower","General","ctrl"
"","91542","Show Activity window","n/a","ctrl+cmd+0","Tower","General","None"
"","91543","Full screen mode","f11","ctrl+cmd+f","Tower","General","None"
"","91544","Refresh / reload data","f5","cmd+r","Tower","General","None"
"","91545","Show Services view","alt+s","ctrl+cmd+s","Tower","Moving Between Views","alt"
"","91546","Show Repositories view","alt+r","ctrl+cmd+r","Tower","Moving Between Views","alt"
"","91547","Show Working Copy view","ctrl+1","cmd+1","Tower","Moving Between Views","ctrl"
"","91548","Show History view","ctrl+2","cmd+2","Tower","Moving Between Views","ctrl"
"","91549","Show Stashes view","ctrl+3","cmd+3","Tower","Moving Between Views","ctrl"
"","91550","Show Pull Request view","ctrl+4","cmd+4","Tower","Moving Between Views","ctrl"
"","91551","Show Reflog view","ctrl+5","cmd+5","Tower","Moving Between Views","ctrl"
"","91552","Show HEAD branch","ctrl+0","cmd+0","Tower","Moving Between Views","ctrl"
"","91553","Check out revision","ctrl+shift+b","shift+cmd+b","Tower","Working Copy & Local Changes","ctrl shift"
"","91554","Activate commit dialog","ctrl+shift+c","shift+cmd+c","Tower","Working Copy & Local Changes","ctrl shift"
"","91555","Confirm commit dialog","ctrl+enter","cmd+enter","Tower","Working Copy & Local Changes","ctrl"
"","91556","Stage/unstage selected file(s)","space","space","Tower","Working Copy & Local Changes","None"
"","91557","Stage all current changes","ctrl+shift+a","shift+cmd+e","Tower","Working Copy & Local Changes","ctrl shift"
"","91558","Unstage all current changes","n/a","alt+shift+cmd+e","Tower","Working Copy & Local Changes","None"
"","91559","Save to Stash","ctrl+s","shift+cmd+s","Tower","Working Copy & Local Changes","ctrl"
"","91560","Apply Stash","ctrl+shift+s","alt+shift+cmd+s","Tower","Working Copy & Local Changes","ctrl shift"
"","91561","Discard local changes in selected file","del","shift+cmd+backspace","Tower","Working Copy & Local Changes","None"
"","91562","Show / hide non-modified files (i.e. all of the project's files)","alt+shift+m","ctrl+cmd+m","Tower","Working Copy & Local Changes","alt shift"
"","91563","Show / hide ignored files","alt+shift+i","ctrl+cmd+i","Tower","Working Copy & Local Changes","alt shift"
"","91564","Show / hide files that are marked ""assume-unchanged""","alt+shift+u","ctrl+cmd+u","Tower","Working Copy & Local Changes","alt shift"
"","91565","Fetch","ctrl+f","shift+cmd+f","Tower","Remote","ctrl"
"","91566","Pull","ctrl+p","shift+cmd+p","Tower","Remote","ctrl"
"","91567","Push HEAD","ctrl+u","shift+cmd+u","Tower","Remote","ctrl"
"","91568","Show / hide commit tree graph","ctrl+g","ctrl+cmd+g","Tower","Remote","ctrl"
"","91569","Copy SHA-1 hashes of selected commits to clipboard","ctrl+c","cmd+c","Tower","Remote","ctrl"
"","91570","Expand all diffs in changeset","ctrl+right","ctrl+cmd+right","Tower","Remote","ctrl"
"","91571","Collapse all diffs in changeset","ctrl+left","ctrl+cmd+left","Tower","Remote","ctrl"
"","91572","Merge","ctrl+m","shift+cmd+m","Tower","Merging & Rebasing","ctrl"
"","91573","Rebase","ctrl+r","shift+cmd+r","Tower","Merging & Rebasing","ctrl"
"","91574","Create new branch","ctrl+b","cmd+b","Tower","Creating Branches & Tags","ctrl"
"","91575","Create new tag","ctrl+shift+t","shift+cmd+t","Tower","Creating Branches & Tags","ctrl shift"
