"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Trello","71636","Open Shortcuts Page","?","?","Trello","General","None"
"Trello","71637","Open Header Boards Menu","b","b","Trello","General","None"
"Trello","71638","Focus Search Box","/","/","Trello","General","None"
"Trello","71639","Undo Action","z","z","Trello","General","None"
"Trello","71640","Redo Action","shift+z","shift+z","Trello","General","shift"
"Trello","71641","Repeat Action","r","r","Trello","General","None"
"Trello","71642","Toggle Board Menu","w","w","Trello","General","None"
"Trello","71643","Clear All Filters","x","x","Trello","General","None"
"Trello","71644","Select card to right","right","right","Trello","Card Navigation","None"
"Trello","71645","Select card to left","left","left","Trello","Card Navigation","None"
"Trello","71646","Select card below","down or j","down or j","Trello","Card Navigation","None"
"Trello","71647","Select card above","up or k","up or k","Trello","Card Navigation","None"
"Trello","71648","Archive Card","c","c","Trello","Card Actions","None"
"Trello","71649","Due Date","d","d","Trello","Card Actions","None"
"Trello","71650","Add Checklist","-","-","Trello","Card Actions","None"
"Trello","71651","Quick Edit Mode","e","e","Trello","Card Actions","None"
"Trello","71652","Close Menu / Cancel Editing","esc","esc","Trello","Card Actions","None"
"Trello","71653","Save Text","ctrl+enter","cmd+enter","Trello","Card Actions","ctrl"
"Trello","71654","Open Card","enter","enter","Trello","Card Actions","None"
"Trello","71655","Open Card Filter Menu","f","f","Trello","Card Actions","None"
"Trello","71656","Add / Remove Members","m","m","Trello","Card Actions","None"
"Trello","71657","Watch","s","s","Trello","Card Actions","None"
"Trello","71658","Assign Self","space","space","Trello","Card Actions","None"
"Trello","71659","Edit Title","t","t","Trello","Card Actions","None"
"Trello","71660","Vote","v","v","Trello","Card Actions","None"
"Trello","71661","Insert New Card","n","n","Trello","Card Actions","None"
"Trello","71662","Move card to bottom list to the left",",",",","Trello","Card Actions","None"
"Trello","71663","Move card to bottom of list to the right",".",".","Trello","Card Actions","None"
"Trello","71664","Move card to top of list to the left","<","<","Trello","Card Actions","None"
"Trello","71665","Move card to top of list to the right",">",">","Trello","Card Actions","None"
"Trello","71666","My Cards Filter","q","q","Trello","Card Actions","None"
"Trello","71667","Copy Card","ctrl+c","cmd+c","Trello","Card Actions","ctrl"
"Trello","71668","Paste Copied Card","ctrl+v","cmd+v","Trello","Card Actions","ctrl"
"Trello","71669","Cut Card","ctrl+x","cmd+x","Trello","Card Actions","ctrl"
"Trello","71670","Open Label Pop-over","l","l","Trello","Labels","None"
"Trello","71671","Toggle Green Label","1","1","Trello","Labels","None"
"Trello","71672","Toggle Yellow Label","2","2","Trello","Labels","None"
"Trello","71673","Toggle Orange Label","3","3","Trello","Labels","None"
"Trello","71674","Toggle Red Label","4","4","Trello","Labels","None"
"Trello","71675","Toggle Purple Label","5","5","Trello","Labels","None"
"Trello","71676","Toggle Blue Label","6","6","Trello","Labels","None"
"Trello","71677","Toggle Sky Label","7","7","Trello","Labels","None"
"Trello","71678","Toggle Lime Label","8","8","Trello","Labels","None"
"Trello","71679","Toggle Pink Label","9","9","Trello","Labels","None"
"Trello","71680","Toggle Black Label","0","0","Trello","Labels","None"
"Trello","71681","Toggle Label Names",";",";","Trello","Labels","None"
"Trello","71682","Autocomplete Members","""@""","""@""","Trello","Autocomplete","Text Snippet"
"Trello","71683","Autocomplete Labels","""#""","""#""","Trello","Autocomplete","Text Snippet"
"Trello","71684","Autocomplete Position","""^""","""^""","Trello","Autocomplete","Text Snippet"
