"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","35065","new Tweet","n","n","Twitter","Actions","None"
"","35066","like","l","l","Twitter","Actions","None"
"","35067","reply","r","r","Twitter","Actions","None"
"","35068","Retweet","t","t","Twitter","Actions","None"
"","35069","Direct Message","m","m","Twitter","Actions","None"
"","35070","mute account","u","u","Twitter","Actions","None"
"","35071","block account","b","b","Twitter","Actions","None"
"","35072","open Tweet details","enter","enter","Twitter","Actions","None"
"","35073","expand photo","o","o","Twitter","Actions","None"
"","35074","search","/","/","Twitter","Actions","None"
"","35075","send Tweet","ctrl+enter","cmd+enter","Twitter","Actions","ctrl"
"","35076","full keyboard menu","?","?","Twitter","Navigation","None"
"","35077","next Tweet","j","j","Twitter","Navigation","None"
"","35078","previous Tweet","k","k","Twitter","Navigation","None"
"","35079","page down","space","space","Twitter","Navigation","None"
"","35080","load new Tweets",".",".","Twitter","Navigation","None"
"","35081","Home timeline","g h","g h","Twitter","Timelines","None"
"","35082","Moments","g o","g o","Twitter","Timelines","None"
"","35083","Notifications tab","g n","g n","Twitter","Timelines","None"
"","35084","Mentions","g r","g r","Twitter","Timelines","None"
"","35085","profile","g p","g p","Twitter","Timelines","None"
"","35086","likes tab","g l","g l","Twitter","Timelines","None"
"","35087","lists tab","g i","g i","Twitter","Timelines","None"
"","35088","Direct Messages","g m","g m","Twitter","Timelines","None"
"","35089","Settings privacy","g s","g s","Twitter","Timelines","None"
"","35090","go to someone’s profile","g u","g u","Twitter","Timelines","None"
