"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","40876","Fullscreen","f","cmd+f","VLC Player","Frequently Used","None"
"","40877","Pause or play","space","space","VLC Player","Frequently Used","None"
"","40878","Subtitles cycle/off","v","s","VLC Player","Frequently Used","None"
"","40879","Audio track cycle","b","l","VLC Player","Frequently Used","None"
"","40880","Volume Up","ctrl+up","cmd+up","VLC Player","Frequently Used","ctrl"
"","40881","Volume Down","ctrl+down","cmd+down","VLC Player","Frequently Used","ctrl"
"","40882","Open Single file(s)","ctrl+o","cmd+o","VLC Player","Frequently Used","ctrl"
"","40883","Goto","ctrl+t","cmd+j","VLC Player","Navigation","ctrl"
"","40884","Very short jump backward – 3 secs","shift+left","ctrl+cmd+left","VLC Player","Navigation","shift"
"","40885","Very short jump forward – 3 secs","shift+right","ctrl+cmd+right","VLC Player","Navigation","shift"
"","40886","Short jump backward – 10 secs","alt+left","alt+cmd+left","VLC Player","Navigation","alt"
"","40887","Short jump forward – 10 secs","alt+right","alt+cmd+right","VLC Player","Navigation","alt"
"","40888","Medium jump backward – 1 min","ctrl+left","shift+cmd+left","VLC Player","Navigation","ctrl"
"","40889","Medium jump forward - 1 min","ctrl+right","shift+cmd+right","VLC Player","Navigation","ctrl"
"","40890","Long jump backward","ctrl+alt+left","alt+shift+cmd+left","VLC Player","Navigation","ctrl alt"
"","40891","Long jump forward","ctrl+alt+right","alt+shift+cmd+right","VLC Player","Navigation","ctrl alt"
"","40892","Next frame","e","e","VLC Player","Navigation","None"
"","40893","Next in playlist","n","cmd+right","VLC Player","Navigation","None"
"","40894","Current from beginn­ing­/Pr­evious in playlist","p","cmd+left","VLC Player","Navigation","None"
"","40895","Open disc menu","ctrl+d","cmd+d","VLC Player","Browsing & Playback","ctrl"
"","40896","Open folder (browse folder menu)","ctrl+f","n/a","VLC Player","Browsing & Playback","ctrl"
"","40897","Advanced open file","ctrl+r or ctrl+s","shift+cmd+o","VLC Player","Browsing & Playback","ctrl"
"","40898","Open single file(s)","ctrl+o","cmd+o","VLC Player","Browsing & Playback","ctrl"
"","40899","Mute and unmute audio","m","alt+cmd+down","VLC Player","Browsing & Playback","None"
"","40900","Stop movie","s","cmd+.","VLC Player","Browsing & Playback","None"
"","40901","Exit full screen mode","esc","esc","VLC Player","Browsing & Playback","None"
"","40902","Faster","plus","cmd+=","VLC Player","Browsing & Playback","None"
"","40903","Slower","-","cmd+-","VLC Player","Browsing & Playback","None"
"","40904","Normal","=","n/a","VLC Player","Browsing & Playback","None"
"","40905","Aspect ratio","a","a","VLC Player","Browsing & Playback","None"
"","40906","Crop screen","c","c","VLC Player","Browsing & Playback","None"
"","40907","Increase subtitle delay","g","j","VLC Player","Browsing & Playback","None"
"","40908","Decrease subtitle delay","h","h","VLC Player","Browsing & Playback","None"
"","40909","Increase audio delay","j","g","VLC Player","Browsing & Playback","None"
"","40910","Decrease audio delay","k","f","VLC Player","Browsing & Playback","None"
"","40911","Change zoom mode","z","z","VLC Player","Browsing & Playback","None"
"","40912","Recent media (in Media - Recent media menu)","ctrl+1 or ctrl+2 or ctrl+3 or ctrl+4","n/a","VLC Player","Browsing & Playback","ctrl"
"","40913","Show time","t","t","VLC Player","Browsing & Playback","None"
"","40914","Random","r","cmd+r","VLC Player","Browsing & Playback","None"
"","40915","Hide / unhide controls","ctrl+h","n/a","VLC Player","VLC","ctrl"
"","40916","Prefer­ences/ interface settings","ctrl+p","cmd+,","VLC Player","VLC","ctrl"
"","40917","Adjust­ments and audio/­video effects","ctrl+e","cmd+e","VLC Player","VLC","ctrl"
"","40918","Edit bookmarks","ctrl+b","cmd+b","VLC Player","VLC","ctrl"
"","40919","Open messages","ctrl+m","shift+cmd+m","VLC Player","VLC","ctrl"
"","40920","Open network","ctrl+n","cmd+n","VLC Player","VLC","ctrl"
"","40921","Open capture device","ctrl+c","cmd+r","VLC Player","VLC","ctrl"
"","40922","Open playlist","ctrl+l","shift+cmd+p","VLC Player","VLC","ctrl"
"","40923","Save playlist","ctrl+y","cmd+s","VLC Player","VLC","ctrl"
"","40924","Media inform­ation","ctrl+i or ctrl+j","cmd+i","VLC Player","VLC","ctrl"
"","40925","Open audio menu","alt+a","n/a","VLC Player","VLC","alt"
"","40926","Open help menu","alt+h","n/a","VLC Player","VLC","alt"
"","40927","Open media menu","alt+m","n/a","VLC Player","VLC","alt"
"","40928","Open playlist menu","alt+p","shift+cmd+p","VLC Player","VLC","alt"
"","40929","Open tool menu","alt+t","n/a","VLC Player","VLC","alt"
"","40930","Open video menu","alt+v","n/a","VLC Player","VLC","alt"
"","40931","Open playback menu","alt+l","n/a","VLC Player","VLC","alt"
"","40932","Show movie path","d","n/a","VLC Player","VLC","None"
"","40933","Show Help","f1","n/a","VLC Player","VLC","None"
"","40934","Window full-s­creen (not equal to pressing F)","f11","n/a","VLC Player","VLC","None"
"","40935","Quit VLC","alt+f4 or alt+q or ctrl+q","cmd+q","VLC Player","VLC","ctrl alt"
