"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","278706","Cut line (empty selection)","ctrl+x","cmd+x","VSCode","Basic Editing","ctrl"
"","278707","Copy line (empty selection)","ctrl+c","cmd+c","VSCode","Basic Editing","ctrl"
"","278708","Paste","ctrl+v","cmd+v","VSCode","Basic Editing","ctrl"
"","278709","Delete Line","ctrl+shift+k","shift+cmd+k","VSCode","Basic Editing","ctrl shift"
"","278710","Insert Line Below","ctrl+enter","cmd+enter","VSCode","Basic Editing","ctrl"
"","278711","Insert Line Above","ctrl+shift+enter","shift+cmd+enter","VSCode","Basic Editing","ctrl shift"
"","278712","Move Line Down","alt+down","alt+down","VSCode","Basic Editing","alt"
"","278713","Move Line Up","alt+up","alt+up","VSCode","Basic Editing","alt"
"","278714","Copy Line Down","alt+shift+down","alt+shift+down","VSCode","Basic Editing","alt shift"
"","278715","Copy Line Up","alt+shift+up","alt+shift+up","VSCode","Basic Editing","alt shift"
"","278716","Undo","ctrl+z","cmd+z","VSCode","Basic Editing","ctrl"
"","278717","Redo","ctrl+y","shift+cmd+z","VSCode","Basic Editing","ctrl"
"","278718","Jump to matching bracket","ctrl+shift+\","shift+cmd+\","VSCode","Basic Editing","ctrl shift"
"","278719","Indent Line","ctrl+]","cmd+]","VSCode","Basic Editing","ctrl"
"","278720","Outdent Line","ctrl+[","cmd+[","VSCode","Basic Editing","ctrl"
"","278721","Go to Beginning of Line","home","home","VSCode","Basic Editing","None"
"","278722","Go to End of Line","end","end","VSCode","Basic Editing","None"
"","278723","Go to End of File","ctrl+end","cmd+down","VSCode","Basic Editing","ctrl"
"","278724","Go to Beginning of File","ctrl+home","cmd+up","VSCode","Basic Editing","ctrl"
"","278725","Scroll Line Down","ctrl+down","ctrl+pagedown","VSCode","Basic Editing","ctrl"
"","278726","Scroll Line Up","ctrl+up","ctrl+pageup","VSCode","Basic Editing","ctrl"
"","278727","Scroll Page Down","alt+pagedown","cmd+pagedown","VSCode","Basic Editing","alt"
"","278728","Scroll Page Up","alt+pageup","cmd+pageup","VSCode","Basic Editing","alt"
"","278729","Fold (collapse) region","ctrl+shift+[","alt+cmd+[","VSCode","Basic Editing","ctrl shift"
"","278730","Unfold (uncollapse) region","ctrl+shift+]","alt+cmd+]","VSCode","Basic Editing","ctrl shift"
"","278731","Fold (collapse) all subregions","ctrl+k ctrl+[","cmd+k cmd+[","VSCode","Basic Editing","ctrl"
"","278732","Unfold (uncollapse) all subregions","ctrl+k ctrl+]","cmd+k cmd+]","VSCode","Basic Editing","ctrl"
"","278733","Fold (collapse) all regions","ctrl+k ctrl+0","cmd+k cmd+0","VSCode","Basic Editing","ctrl"
"","278734","Unfold (uncollapse) all regions","ctrl+k ctrl+j","cmd+k cmd+j","VSCode","Basic Editing","ctrl"
"","278735","Add Line Comment","ctrl+k ctrl+c","cmd+k cmd+c","VSCode","Basic Editing","ctrl"
"","278736","Remove Line Comment","ctrl+k ctrl+u","cmd+k cmd+u","VSCode","Basic Editing","ctrl"
"","278737","Toggle Line Comment","ctrl+/","cmd+/","VSCode","Basic Editing","ctrl"
"","278738","Toggle Block Comment","alt+shift+a","alt+shift+a","VSCode","Basic Editing","alt shift"
"","278739","Toggle Render Whitespace","unassigned","unassigned","VSCode","Basic Editing","None"
"","278740","Toggle Word Wrap","alt+z","alt+z","VSCode","Basic Editing","alt"
"","278741","Trigger Suggest","ctrl+space","ctrl+space","VSCode","Rich Languages Editing","ctrl"
"","278742","Trigger Parameter Hints","ctrl+shift+space","shift+cmd+space","VSCode","Rich Languages Editing","ctrl shift"
