"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","54194","open help for keyword",""":h keyword""",""":h keyword""","Vim","Global","Text Snippet"
"","54195","save file as",""":sav file""",""":sav file""","Vim","Global","Text Snippet"
"","54196","close current pane",""":clo""",""":clo""","Vim","Global","Text Snippet"
"","54197","open a terminal window",""":ter""",""":ter""","Vim","Global","Text Snippet"
"","54198","open man page for word under the cursor","""K""","""K""","Vim","Global","Text Snippet"
"","54199","move cursor left","""h""","""h""","Vim","Cursor movement","Text Snippet"
"","54200","move cursor down","""j""","""j""","Vim","Cursor movement","Text Snippet"
"","54201","move cursor up","""k""","""k""","Vim","Cursor movement","Text Snippet"
"","54202","move cursor right","""l""","""l""","Vim","Cursor movement","Text Snippet"
"","54203","move to top of screen","""H""","""H""","Vim","Cursor movement","Text Snippet"
"","54204","move to middle of screen","""M""","""M""","Vim","Cursor movement","Text Snippet"
"","54205","move to bottom of screen","""L""","""L""","Vim","Cursor movement","Text Snippet"
"","54206","jump forwards to the start of a word","""w""","""w""","Vim","Cursor movement","Text Snippet"
"","54207","jump forwards to the start of a word (words can contain punctuation)","""W""","""W""","Vim","Cursor movement","Text Snippet"
"","54208","jump forwards to the end of a word","""e""","""e""","Vim","Cursor movement","Text Snippet"
"","54209","jump forwards to the end of a word (words can contain punctuation)","""E""","""E""","Vim","Cursor movement","Text Snippet"
"","54210","jump backwards to the start of a word","""b""","""b""","Vim","Cursor movement","Text Snippet"
"","54211","jump backwards to the start of a word (words can contain punctuation)","""B""","""B""","Vim","Cursor movement","Text Snippet"
"","54212","move to matching character (default supported pairs: '()', '{}', '[]' - use :h matchpairs in vim for more info)","""%""","""%""","Vim","Cursor movement","Text Snippet"
"","54213","jump to the start of the line","""0""","""0""","Vim","Cursor movement","Text Snippet"
"","54214","jump to the first non-blank character of the line","""^""","""^""","Vim","Cursor movement","Text Snippet"
"","54215","jump to the end of the line","""$""","""$""","Vim","Cursor movement","Text Snippet"
"","54216","jump to the last non-blank character of the line","""g_""","""g_""","Vim","Cursor movement","Text Snippet"
"","54217","go to the first line of the document","""gg""","""gg""","Vim","Cursor movement","Text Snippet"
"","54218","go to the last line of the document","""G""","""G""","Vim","Cursor movement","Text Snippet"
"","54219","go to line 5","""5gg""","""5gg""","Vim","Cursor movement","Text Snippet"
"","54220","jump to next occurrence of character x","""fx""","""fx""","Vim","Cursor movement","Text Snippet"
"","54221","jump to before next occurrence of character x","""tx""","""tx""","Vim","Cursor movement","Text Snippet"
"","54222","jump to previous occurence of character x","""Fx""","""Fx""","Vim","Cursor movement","Text Snippet"
"","54223","jump to after previous occurence of character x","""Tx""","""Tx""","Vim","Cursor movement","Text Snippet"
"","54224","repeat previous f, t, F or T movement",""";""",""";""","Vim","Cursor movement","Text Snippet"
"","54225","repeat previous f, t, F or T movement, backwards",""",""",""",""","Vim","Cursor movement","Text Snippet"
