"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Vimium","53803","Scroll down","j or ctrl+e","j or ctrl+e","Vimium","Navigating the page","ctrl"
"Vimium","53804","Scroll up","k or ctrl+y","k or ctrl+y","Vimium","Navigating the page","ctrl"
"Vimium","53805","Scroll to the top of the page","""gg""","""gg""","Vimium","Navigating the page","Text Snippet"
"Vimium","53806","Scroll to the bottom of the page","shift+g","shift+g","Vimium","Navigating the page","shift"
"Vimium","53807","Scroll a half page down","d","d","Vimium","Navigating the page","None"
"Vimium","53808","Scroll a half page up","u","u","Vimium","Navigating the page","None"
"Vimium","53809","Scroll left","h","h","Vimium","Navigating the page","None"
"Vimium","53810","Scroll right","l","l","Vimium","Navigating the page","None"
"Vimium","53811","Scroll all the way to the left","""zH""","""zH""","Vimium","Navigating the page","Text Snippet"
"Vimium","53812","Scroll all the way to the right","""zL""","""zL""","Vimium","Navigating the page","Text Snippet"
"Vimium","53813","Reload the page","r","r","Vimium","Navigating the page","None"
"Vimium","53814","Copy the current URL to the clipboard","""yy""","""yy""","Vimium","Navigating the page","Text Snippet"
"Vimium","53815","Open the clipboard's URL in the current tab","p","p","Vimium","Navigating the page","None"
"Vimium","53816","Open the clipboard's URL in a new tab","shift+p","shift+p","Vimium","Navigating the page","shift"
"Vimium","53817","Go up the URL hierarchy","""gu""","""gu""","Vimium","Navigating the page","Text Snippet"
"Vimium","53818","Go to root of current URL hierarchy","""gU""","""gU""","Vimium","Navigating the page","Text Snippet"
"Vimium","53819","Enter insert mode","i","i","Vimium","Navigating the page","None"
"Vimium","53820","Enter visual mode","v","v","Vimium","Navigating the page","None"
"Vimium","53821","Enter visual line mode","shift+v","shift+v","Vimium","Navigating the page","shift"
"Vimium","53822","Focus the first text input on the page","""gi""","""gi""","Vimium","Navigating the page","Text Snippet"
"Vimium","53823","Open a link in the current tab","f","f","Vimium","Navigating the page","None"
"Vimium","53824","Open a link in a new tab","shift+f","shift+f","Vimium","Navigating the page","shift"
"Vimium","53825","Open multiple links in a new tab","alt+f","alt+f","Vimium","Navigating the page","alt"
"Vimium","53826","Copy a link URL to the clipboard","""yf""","""yf""","Vimium","Navigating the page","Text Snippet"
"Vimium","53827","Follow the link labeled previous or <","""[[""","""[[""","Vimium","Navigating the page","Text Snippet"
"Vimium","53828","Follow the link labeled next or >","""]]""","""]]""","Vimium","Navigating the page","Text Snippet"
"Vimium","53829","Select the next frame on the page","""gf""","""gf""","Vimium","Navigating the page","Text Snippet"
"Vimium","53830","Select the page's main/top frame","""gF""","""gF""","Vimium","Navigating the page","Text Snippet"
"Vimium","53831","Create a new mark","m","m","Vimium","Navigating the page","None"
"Vimium","53832","Go to a mark","`","`","Vimium","Navigating the page","None"
"Vimium","53833","Open URL, bookmark or history entry","o","o","Vimium","Using the vomnibar","None"
"Vimium","53834","Open URL, bookmark or history entry in a new tab","shift+o","shift+o","Vimium","Using the vomnibar","shift"
"Vimium","53835","Open a bookmark","b","b","Vimium","Using the vomnibar","None"
"Vimium","53836","Open a bookmark in a new tab","shift+b","shift+b","Vimium","Using the vomnibar","shift"
"Vimium","53837","Search through your open tabs","shift+t","shift+t","Vimium","Using the vomnibar","shift"
"Vimium","53838","Edit the current URL","""ge""","""ge""","Vimium","Using the vomnibar","Text Snippet"
"Vimium","53839","Edit the current URL and open in a new tab","""gE""","""gE""","Vimium","Using the vomnibar","Text Snippet"
"Vimium","53840","Enter find mode","/","/","Vimium","Using find","None"
"Vimium","53841","Cycle forward to the next find match","n","n","Vimium","Using find","None"
"Vimium","53842","Cycle backward to the previous find match","shift+n","shift+n","Vimium","Using find","shift"
"Vimium","53843","Go back in history","shift+h","shift+h","Vimium","Navigating history","shift"
"Vimium","53844","Go forward in history","shift+l","shift+l","Vimium","Navigating history","shift"
"Vimium","53845","Create new tab","t","t","Vimium","Manipulating tabs","None"
"Vimium","53846","Go one tab left","shift+j","shift+j","Vimium","Manipulating tabs","shift"
"Vimium","53847","Go one tab right","k","k","Vimium","Manipulating tabs","None"
"Vimium","53848","Go to previously-visited tab","""^""","""^""","Vimium","Manipulating tabs","Text Snippet"
"Vimium","53849","Go to the first tab","""g0""","""g0""","Vimium","Manipulating tabs","Text Snippet"
"Vimium","53850","Go to the last tab","""g$""","""g$""","Vimium","Manipulating tabs","Text Snippet"
"Vimium","53851","Duplicate current tab","""yt""","""yt""","Vimium","Manipulating tabs","Text Snippet"
"Vimium","53852","Pin or unpin current tab","alt+p","alt+p","Vimium","Manipulating tabs","alt"
"Vimium","53853","Mute or unmute current tab","alt+m","alt+m","Vimium","Manipulating tabs","alt"
"Vimium","53854","Close current tab","x","x","Vimium","Manipulating tabs","None"
"Vimium","53855","Restore closed tab","shift+x","shift+x","Vimium","Manipulating tabs","shift"
"Vimium","53856","Move tab to new window","shift+w","shift+w","Vimium","Manipulating tabs","shift"
"Vimium","53857","Move tab to the left","""<<""","""<<""","Vimium","Manipulating tabs","Text Snippet"
"Vimium","53858","Move tab to the right",""">>""",""">>""","Vimium","Manipulating tabs","Text Snippet"
"Vimium","53859","Show help","?","?","Vimium","Miscellaneous","None"
"Vimium","53860","View page source","""gs""","""gs""","Vimium","Miscellaneous","Text Snippet"
