"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","86810","New Window","ctrl+n","cmd+n","Vivaldi","Window","ctrl"
"","86811","New Private Window","ctrl+shift+n","shift+cmd+n","Vivaldi","Window","ctrl shift"
"","86812","Close Window","ctrl+shift+w","shift+cmd+w","Vivaldi","Window","ctrl shift"
"","86813","Quick Commands","f2","cmd+e or f2","Vivaldi","Window","None"
"","86814","Task Manager","shift+esc","shift+esc","Vivaldi","Window","shift"
"","86815","Settings","ctrl+f12","cmd+,","Vivaldi","Window","ctrl"
"","86816","Extensions","ctrl+shift+e","ctrl+cmd+e","Vivaldi","Window","ctrl shift"
"","86817","History","ctrl+h","cmd+y","Vivaldi","Window","ctrl"
"","86818","Bookmarks","ctrl+b","ctrl+cmd+b","Vivaldi","Window","ctrl"
"","86819","Delete Browsing Data","ctrl+shift+del","shift+cmd+del","Vivaldi","Window","ctrl shift"
"","86820","Exit","ctrl+q","cmd+q","Vivaldi","Window","ctrl"
"","86821","Help","f1","shift+cmd+?","Vivaldi","Window","None"
"","86822","Keyboard Cheat Sheet","ctrl+f1","cmd+f1","Vivaldi","Window","ctrl"
"","86823","Break Mode","ctrl+.","ctrl+.","Vivaldi","Window","ctrl"
"","86824","focus next pane","f6","f6","Vivaldi","Window","None"
"","86825","focus previous pane","shift+f6","shift+f6","Vivaldi","Window","shift"
"","86826","Print","ctrl+p","cmd+p","Vivaldi","Window","ctrl"
"","86827","View Page Source","ctrl+u","cmd+u","Vivaldi","Window","ctrl"
"","86828","Developer Tools","ctrl+shift+i or f12","shift+cmd+i or f12","Vivaldi","Window","ctrl shift"
"","86829","Developer Tools Console","ctrl+shift+j","ctrl+shift+j","Vivaldi","Window","ctrl shift"
"","86830","Undo","ctrl+z","cmd+z","Vivaldi","Window","ctrl"
"","86831","Redo","ctrl+y","shift+cmd+z","Vivaldi","Window","ctrl"
"","86832","Cut","ctrl+x","cmd+x","Vivaldi","Window","ctrl"
"","86833","Copy","ctrl+c","cmd+c","Vivaldi","Window","ctrl"
"","86834","Paste","ctrl+v","cmd+v","Vivaldi","Window","ctrl"
"","86835","Select All","ctrl+a","cmd+a","Vivaldi","Window","ctrl"
"","86836","Paste and Go","ctrl+shift+v","shift+cmd+v","Vivaldi","Window","ctrl shift"
"","86837","Hide Vivaldi","n/a","cmd+h","Vivaldi","Window","None"
"","86838","Fullscreen Mode","f11","ctrl+cmd+f or f10","Vivaldi","View","None"
"","86839","Bookmarks Bar","ctrl+shift+b","shift+cmd+b","Vivaldi","View","ctrl shift"
"","86840","Menu Position","ctrl+m","n/a","Vivaldi","View","ctrl"
"","86841","Status Bar","ctrl+shift+s","cmd+/","Vivaldi","View","ctrl shift"
"","86842","Toggle Ul","ctrl+f11","cmd+f10","Vivaldi","View","ctrl"
"","86843","Page Zoom In","ctrl+= or ctrl+plus","cmd+= or cmd+plus","Vivaldi","View","ctrl"
"","86844","Page Zoom Out","ctrl+-","cmd+-","Vivaldi","View","ctrl"
"","86845","Page Zoom Reset","ctrl+0 or ctrl+*","cmd+0","Vivaldi","View","ctrl"
"","86846","Panel","f4","alt+cmd+p or f4","Vivaldi","View","None"
"","86847","Focus Panel","f7","f7","Vivaldi","View","None"
"","86848","Open Next Panel","alt+f7","alt+cmd+down","Vivaldi","View","alt"
"","86849","Open previous option from the left side panel","alt+shift+f7","n/a","Vivaldi","View","alt shift"
"","86850","Open Previous Panel","alt+shift+f4","alt+cmd+up","Vivaldi","View","alt shift"
"","86851","Bookmarks Panel","f6","alt+cmd+b","Vivaldi","View","None"
"","86852","Downloads Panel","ctrl+shift+d or ctrl+j","alt+cmd+l","Vivaldi","View","ctrl shift"
"","86853","Notes Panel","ctrl+shift+o","alt+cmd+n","Vivaldi","View","ctrl shift"
"","86854","History Panel","ctrl+shift+h","alt+cmd+y","Vivaldi","View","ctrl shift"
"","86855","New Tab","ctrl+t","cmd+t","Vivaldi","Tab","ctrl"
"","86856","Close Tab","ctrl+w or ctrl+f4","cmd+w","Vivaldi","Tab","ctrl"
"","86857","Tab Cycler Back","ctrl+shift+tab","ctrl+shift+tab or alt+cmd+left","Vivaldi","Tab","ctrl shift"
"","86858","Tab Cycler Forward","ctrl+tab","ctrl+tab or alt+cmd+right","Vivaldi","Tab","ctrl"
"","86859","Previous Tab (by Order)","ctrl+pageup","shift+cmd+[","Vivaldi","Tab","ctrl"
"","86860","Next Tab (by Order)","ctrl+pagedown","shift+cmd+]","Vivaldi","Tab","ctrl"
"","86861","Previous Tab (Recent)","numpad4","numpad4","Vivaldi","Tab","None"
"","86862","Next Tab (Recent)","numpad3","numpad3","Vivaldi","Tab","None"
"","86863","Move Active Tab Backward","ctrl+shift+pageup","shift+cmd+up","Vivaldi","Tab","ctrl shift"
"","86864","Move Active Tab Forward","ctrl+shift+pagedown","shift+cmd+down","Vivaldi","Tab","ctrl shift"
"","86865","Switch to Tab 1","ctrl+1","cmd+1","Vivaldi","Tab","ctrl"
"","86866","Switch to Tab 2","ctrl+2","cmd+2","Vivaldi","Tab","ctrl"
"","86867","Switch to Tab 3","ctrl+3","cmd+3","Vivaldi","Tab","ctrl"
"","86868","Switch to Tab 4","ctrl+4","cmd+4","Vivaldi","Tab","ctrl"
"","86869","Switch to Tab 5","ctrl+5","cmd+5","Vivaldi","Tab","ctrl"
"","86870","Switch to Tab 6","ctrl+6","cmd+6","Vivaldi","Tab","ctrl"
"","86871","Switch to Tab 7","ctrl+7","cmd+7","Vivaldi","Tab","ctrl"
"","86872","Switch to Tab 8","ctrl+8","cmd+8","Vivaldi","Tab","ctrl"
"","86873","Switch to the Last Tab","ctrl+9","cmd+9","Vivaldi","Tab","ctrl"
"","86874","Reopen Closed Tab","ctrl+z or ctrl+shift+t","cmd+z or shift+cmd+t","Vivaldi","Tab","ctrl shift"
"","86875","Tile Vertically","ctrl+f9","cmd+f9","Vivaldi","Tab","ctrl"
"","86876","Tile Horizontally","ctrl+f8","cmd+f8","Vivaldi","Tab","ctrl"
"","86877","Tile to Grid","ctrl+f7","cmd+f7","Vivaldi","Tab","ctrl"
"","86878","Untile Tabs","ctrl+f6","cmd+f6","Vivaldi","Tab","ctrl"
"","86879","Load Images","ctrl+alt+shift+i","alt+cmd+i","Vivaldi","Tab","ctrl alt shift"
"","86880","Create Bookmark","ctrl+d","cmd+d","Vivaldi","Page","ctrl"
"","86881","Focus Address Field","f8 or ctrl+l","cmd+l or f8","Vivaldi","Page","ctrl"
"","86882","Reload Page","ctrl+r or f5","cmd+r or f5","Vivaldi","Page","ctrl"
"","86883","Force Page Reload","ctrl+shift+r or ctrl+f5","shift+cmd+r or cmd+f5","Vivaldi","Page","ctrl shift"
"","86884","Focus Page","f9","f9","Vivaldi","Page","None"
"","86885","Focus Search Field","ctrl+k or ctrl+e","cmd+k","Vivaldi","Page","ctrl"
"","86886","Find in Page","ctrl+f","cmd+f","Vivaldi","Page","ctrl"
"","86887","Find Next in Page","f3 or ctrl+g","f3 or cmd+g","Vivaldi","Page","ctrl"
"","86888","Find Previous in Page","shift+f3 or ctrl+shift+g","shift+f3 or shift+cmd+g","Vivaldi","Page","ctrl shift"
"","86889","History Back","backspace or ctrl+left or alt+left","backspace or cmd+left","Vivaldi","Page","ctrl alt"
"","86890","History Forward","ctrl+right or alt+right","cmd+right","Vivaldi","Page","ctrl alt"
"","86891","Stop Loading","esc","esc or cmd+.","Vivaldi","Page","None"
"","86892","Open File","ctrl+o","cmd+o","Vivaldi","Page","ctrl"
"","86893","Save Page As","ctrl+s","cmd+s","Vivaldi","Page","ctrl"
"","86894","Home","alt+home","shift+cmd+h","Vivaldi","Page","alt"
"","86895","Copy Selected Text to Note","ctrl+shift+c","alt+cmd+c","Vivaldi","Page","ctrl shift"
"","86896","Spatial Navigation Left","shift+left","shift+left","Vivaldi","Page","shift"
"","86897","Spatial Navigation Up","shift+up","shift+up","Vivaldi","Page","shift"
"","86898","Spatial Navigation Right","shift+right","shift+right","Vivaldi","Page","shift"
"","86899","Spatial Navigation Down","shift+down","shift+down","Vivaldi","Page","shift"
