"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","116544","Pan the map in any direction","up or right or down or left","n/A","Windows Maps","Navigation","None"
"","116545","Zoom in or out","plus or -","n/A","Windows Maps","Navigation","None"
"","116546","Rotate","ctrl+left or ctrl+right","n/A","Windows Maps","Navigation","ctrl"
"","116547","Tilt","ctrl+up or ctrl+down","n/A","Windows Maps","Navigation","ctrl"
"","116548","Zoom in or out in 3D Cities view","plus or -","n/A","Windows Maps","Navigation","None"
"","116549","Move farther or closer in 3D Cities view","pageup or pagedown","n/A","Windows Maps","Navigation","None"
"","116550","Switch map views between aerial and road","ctrl+y","n/A","Windows Maps","Navigation","ctrl"
"","116551","Center map on your current location","ctrl+home","n/A","Windows Maps","Navigation","ctrl"
"","116552","Get directions","ctrl+d","n/A","Windows Maps","Other Actions","ctrl"
"","116553","Search","ctrl+f","n/A","Windows Maps","Other Actions","ctrl"
"","116554","Minimize the active tab","ctrl+m","n/A","Windows Maps","Other Actions","ctrl"
"","116555","Print","ctrl+p","n/A","Windows Maps","Other Actions","ctrl"
"","116556","Show or hide traffic","ctrl+t","n/A","Windows Maps","Other Actions","ctrl"
"","116557","Go back","backspace","n/A","Windows Maps","Other Actions","None"
"","116558","Share","ctrl+h","n/A","Windows Maps","Other Actions","ctrl"
"","116559","Move focus to map","ctrl+l","n/A","Windows Maps","Other Actions","ctrl"
"","116560","Show or hide Streetside","ctrl+s","n/A","Windows Maps","Other Actions","ctrl"
"","116561","Copy to clipboard","ctrl+c","n/A","Windows Maps","Other Actions","ctrl"
"","116562","Close the active tab","ctrl+w","n/A","Windows Maps","Tabs","ctrl"
"","116563","Go to the next tab","ctrl+tab","n/A","Windows Maps","Tabs","ctrl"
"","116564","Go to previous tab","ctrl+shift+tab","n/A","Windows Maps","Tabs","ctrl shift"
