"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","91576","Open a capture file","ctrl+o","cmd+o","Wireshark","File","ctrl"
"","91577","Close this capture file","ctrl+w","cmd+w","Wireshark","File","ctrl"
"","91578","Save this capture file","ctrl+s","cmd+s","Wireshark","File","ctrl"
"","91579","Save as a different file","ctrl+shift+s","shift+cmd+s","Wireshark","File","ctrl shift"
"","91580","Export Packet Bytes…","ctrl+shift+x","shift+cmd+x","Wireshark","File","ctrl shift"
"","91581","Print…","ctrl+p","cmd+p","Wireshark","File","ctrl"
"","91582","Quit Wireshark","ctrl+q","cmd+q","Wireshark","File","ctrl"
"","91583","Find the next packet","ctrl+n","cmd+n","Wireshark","Edit","ctrl"
"","91584","Find a packet","ctrl+f","cmd+f","Wireshark","Edit","ctrl"
"","91585","Find the previous packet","ctrl+b","cmd+b","Wireshark","Edit","ctrl"
"","91586","Mark or unmark each selected packet","ctrl+m","cmd+m","Wireshark","Edit","ctrl"
"","91587","Mark all displayed packets","ctrl+shift+m","shift+cmd+m","Wireshark","Edit","ctrl shift"
"","91588","Unmark all displayed packets","ctrl+alt+m","alt+cmd+m","Wireshark","Edit","ctrl alt"
"","91589","Go to the next marked packet","ctrl+shift+n","shift+cmd+n","Wireshark","Edit","ctrl shift"
"","91590","Go to the previous marked packet","ctrl+shift+b","shift+cmd+b","Wireshark","Edit","ctrl shift"
"","91591","Ignore or unignore each selected packet","ctrl+d","cmd+d","Wireshark","Edit","ctrl"
"","91592","Ignore all displayed packets","ctrl+shift+d","shift+cmd+d","Wireshark","Edit","ctrl shift"
"","91593","Unignore all displayed packets","ctrl+alt+d","alt+cmd+d","Wireshark","Edit","ctrl alt"
"","91594","Set or unset a time reference for this packet","ctrl+t","cmd+t","Wireshark","Edit","ctrl"
"","91595","Remove all time references","ctrl+alt+t","alt+cmd+t","Wireshark","Edit","ctrl alt"
"","91596","Go to the next time reference","ctrl+alt+n","alt+cmd+n","Wireshark","Edit","ctrl alt"
