"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","87895","Close WordPad","alt+f4","n/A","Wordpad","General","alt"
"","87896","Show the context menu","shift+f10","n/A","Wordpad","General","shift"
"","87897","Search for the next instance of the text in the Finddialog box","f3","n/A","Wordpad","General","None"
"","87898","Save the document as a new file","f12","n/A","Wordpad","General","None"
"","87899","Redo a change","ctrl+y","n/A","Wordpad","General","ctrl"
"","87900","Undo a change","ctrl+z","n/A","Wordpad","General","ctrl"
"","87901","Set single line spacing","ctrl+1","n/A","Wordpad","Editing","ctrl"
"","87902","Set double line spacing","ctrl+2","n/A","Wordpad","Editing","ctrl"
"","87903","Set line spacing to 1.5","ctrl+5","n/A","Wordpad","Editing","ctrl"
"","87904","Select all","ctrl+a","n/A","Wordpad","Editing","ctrl"
"","87905","Make selected text bold","ctrl+b","n/A","Wordpad","Editing","ctrl"
"","87906","Copy a selection to the Clipboard","ctrl+c","n/A","Wordpad","Editing","ctrl"
"","87907","Insert a Microsoft Paint drawing","ctrl+d","n/A","Wordpad","Editing","ctrl"
"","87908","Align text center","ctrl+e","n/A","Wordpad","Editing","ctrl"
"","87909","Search for text in a document","ctrl+f","n/A","Wordpad","Editing","ctrl"
"","87910","Replace text in a document","ctrl+h","n/A","Wordpad","Editing","ctrl"
"","87911","Italicize selected text","ctrl+i","n/A","Wordpad","Editing","ctrl"
"","87912","Justify text","ctrl+j","n/A","Wordpad","Editing","ctrl"
"","87913","Align text left","ctrl+l","n/A","Wordpad","Editing","ctrl"
"","87914","Create a new document","ctrl+n","n/A","Wordpad","Editing","ctrl"
"","87915","Open an existing document","ctrl+o","n/A","Wordpad","Editing","ctrl"
"","87916","Print a document","ctrl+p","n/A","Wordpad","Editing","ctrl"
"","87917","Align text right","ctrl+r","n/A","Wordpad","Editing","ctrl"
"","87918","Save changes to a document","ctrl+s","n/A","Wordpad","Editing","ctrl"
"","87919","Underline selected text","ctrl+u","n/A","Wordpad","Editing","ctrl"
"","87920","Paste a selection from the Clipboard","ctrl+v","n/A","Wordpad","Editing","ctrl"
"","87921","Cut a selection","ctrl+x","n/A","Wordpad","Editing","ctrl"
"","87922","Delete the next word","ctrl+del","n/A","Wordpad","Editing","ctrl"
"","87923","Make selected text subscript","ctrl+=","n/A","Wordpad","Editing","ctrl"
"","87924","Make selected text superscript","ctrl+shift+=","n/A","Wordpad","Editing","ctrl shift"
"","87925","Increase the font size","ctrl+shift+>","n/A","Wordpad","Editing","ctrl shift"
"","87926","Decrease the font size","ctrl+shift+<","n/A","Wordpad","Editing","ctrl shift"
"","87927","Change characters to all capitals","ctrl+shift+a","n/A","Wordpad","Editing","ctrl shift"
"","87928","Change the bullet style","ctrl+shift+l","n/A","Wordpad","Editing","ctrl shift"
"","87929","Move the cursor one word to the left","ctrl+left","n/A","Wordpad","Cursor","ctrl"
"","87930","Move the cursor one word to the right","ctrl+right","n/A","Wordpad","Cursor","ctrl"
"","87931","Move the cursor to the previous line","ctrl+up","n/A","Wordpad","Cursor","ctrl"
"","87932","Move the cursor to the next line","ctrl+down","n/A","Wordpad","Cursor","ctrl"
"","87933","Move to the beginning of the document","ctrl+home","n/A","Wordpad","Cursor","ctrl"
"","87934","Move to the end of the document","ctrl+end","n/A","Wordpad","Cursor","ctrl"
"","87935","Move up one page","ctrl+pageup","n/A","Wordpad","Cursor","ctrl"
"","87936","Move down one page","ctrl+pagedown","n/A","Wordpad","Cursor","ctrl"
