"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","71959","Preferences…","n/A","cmd+,","XCode","XCode & Help Menu","cmd"
"","71960","Hide Xcode","n/A","cmd+h","XCode","XCode & Help Menu","cmd"
"","71961","Hide Others","n/A","alt+cmd+h","XCode","XCode & Help Menu","alt cmd"
"","71962","Quit Xcode","n/A","cmd+q","XCode","XCode & Help Menu","cmd"
"","71963","Show Quick Help for Selected Item","n/A","ctrl+cmd+?","XCode","XCode & Help Menu","ctrl cmd"
"","71964","Search Documentation for Selected Text","n/A","ctrl+alt+cmd+/","XCode","XCode & Help Menu","ctrl alt cmd"
"","71965","New Editor","n/A","ctrl+cmd+t","XCode","File","ctrl cmd"
"","71966","New Editor Below","n/A","ctrl+alt+cmd+t","XCode","File","ctrl alt cmd"
"","71967","New Tab","n/A","cmd+t","XCode","File","cmd"
"","71968","New Window","n/A","shift+cmd+t","XCode","File","shift cmd"
"","71969","New File…","n/A","cmd+n","XCode","File","cmd"
"","71970","New Playground…","n/A","alt+shift+cmd+n","XCode","File","alt shift cmd"
"","71971","New Project…","n/A","shift+cmd+n","XCode","File","shift cmd"
"","71972","New Swift Package…","n/A","ctrl+shift+cmd+n","XCode","File","ctrl shift cmd"
"","71973","New Workspace…","n/A","ctrl+cmd+n","XCode","File","ctrl cmd"
"","71974","New Group without Folder","n/A","ctrl+alt+cmd+n","XCode","File","ctrl alt cmd"
"","71975","Add Files…","n/A","alt+cmd+a","XCode","File","alt cmd"
"","71976","Open…","n/A","cmd+o","XCode","File","cmd"
"","71977","Open Quickly…","n/A","shift+cmd+o","XCode","File","shift cmd"
"","71978","Close Tab","n/A","shift+cmd+w","XCode","File","shift cmd"
"","71979","Close Other Tabs","n/A","alt+shift+cmd+w","XCode","File","alt shift cmd"
"","71980","Close Editor","n/A","ctrl+alt+cmd+w","XCode","File","ctrl alt cmd"
"","71981","Close Other Editors","n/A","ctrl+alt+shift+cmd+w","XCode","File","ctrl alt shift cmd"
"","71982","Close Document","n/A","ctrl+cmd+w","XCode","File","ctrl cmd"
"","71983","Close Workspace","n/A","ctrl+shift+cmd+w","XCode","File","ctrl shift cmd"
"","71984","Save","n/A","cmd+s","XCode","File","cmd"
"","71985","Save All","n/A","alt+cmd+s","XCode","File","alt cmd"
"","71986","Duplicate…","n/A","shift+cmd+s","XCode","File","shift cmd"
"","71987","Save As…","n/A","alt+shift+cmd+s","XCode","File","alt shift cmd"
"","71988","Page Setup…","n/A","shift+cmd+p","XCode","File","shift cmd"
