"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","151386","Deselect all selected issues.","esc","esc","YouTrack","Issues List","None"
"","151387","Set focus to the issue below the current issue.","down","down","YouTrack","Issues List","None"
"","151388","Set focus to the issue above the current issue.","up","up","YouTrack","Issues List","None"
"","151389","Expand the detail for the current issue in the list.","right","right","YouTrack","Issues List","None"
"","151390","Collapse the detail for the current issue in the list.","left","left","YouTrack","Issues List","None"
"","151391","Toggle the selection of the current issue.","space","space","YouTrack","Issues List","None"
"","151392","Select or deselect all of the issues on the current page.","ctrl+a","cmd+a","YouTrack","Issues List","ctrl"
"","151393","Assign the selected issues to yourself.","ctrl+m","ctrl+m","YouTrack","Issues List","ctrl"
"","151394","Open the current issue in edit mode.","f2","f2","YouTrack","Issues List","None"
"","151395","Open the current issue in view mode without navigating away from the page.","f3","f3","YouTrack","Issues List","None"
"","151396","Show previous issue in view or edit mode.","ctrl+left","ctrl+shift+left","YouTrack","Issues List","ctrl"
"","151397","Show next issue in view or edit mode.","ctrl+right","ctrl+shift+right","YouTrack","Issues List","ctrl"
"","151398","Toggle the visibility of the sidebar.","ctrl+shift+backspace","ctrl+shift+del","YouTrack","Issues List","ctrl shift"
"","151399","Open your personal list of Saved Searches and Tags from the Issues menu.","ctrl+shift+!","ctrl+shift+!","YouTrack","Issues List","ctrl shift"
"","151400","Copy the ID of the current issue to the clipboard.","ctrl+c","cmd+c","YouTrack","Issues List","ctrl"
"","151401","Copy the issue ID and summary of the current issue to the clipboard.","ctrl+alt+shift+c","alt+shift+cmd+c","YouTrack","Issues List","ctrl alt shift"
"","151402","Open the current issue in single issue view.","enter","enter or enter","YouTrack","Issues List","None"
"","151403","Open the New Issue page to create a subtask of the current issue.","ctrl+alt+ins","ctrl+alt+n","YouTrack","Issues List","ctrl alt"
"","151404","Open the Apply Command dialog. Applied to the current issue or all selected issues.","ctrl+alt+j","ctrl+alt+j","YouTrack","Issues List","ctrl alt"
"","151405","Suggest to apply the most recent command to all selected issues in the list.","ctrl+alt+k","ctrl+alt+k","YouTrack","Issues List","ctrl alt"
"","151406","Opens a list of issues that are similar to the current issue in a new browser tab.","ctrl+shift+s","ctrl+shift+s","YouTrack","Issues List","ctrl shift"
"","151407","Attach an image from the clipboard to the current issue.","ctrl+v","cmd+v","YouTrack","Issues List","ctrl"
"","151408","Open the New Issue page.","alt+ins","ctrl+n","YouTrack","Issues List","alt"
"","151409","Delete the current issue or all selected issues.","del","del","YouTrack","Issues List","None"
"","151410","View keyboard shortcuts.","ctrl+/","ctrl+/","YouTrack","Issues List","ctrl"
"","151411","Return to the Issues list.","ctrl+up","ctrl+shift+up","YouTrack","Single Issue View","ctrl"
