"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Zotero","87848","Save to Zotero","ctrl+shift+s","shift+cmd+s","Zotero","Adding","ctrl shift"
"Zotero","87849","Create a New Item by Hand","ctrl+shift+n","shift+cmd+n","Zotero","Adding","ctrl shift"
"Zotero","87850","Create a New Note","ctrl+shift+o","shift+cmd+o","Zotero","Adding","ctrl shift"
"Zotero","87851","Import","ctrl+shift+i","shift+cmd+i","Zotero","Adding","ctrl shift"
"Zotero","87852","Import from Clipboard","ctrl+alt+shift+i","alt+shift+cmd+i","Zotero","Adding","ctrl alt shift"
"Zotero","87853","Add Another Author/Creator when Editing Creator","shift+enter","shift+enter","Zotero","Editing","shift"
"Zotero","87854","Save Abstract or Extra field","shift+enter","shift+enter","Zotero","Editing","shift"
"Zotero","87855","Move to Trash","del","shift+del","Zotero","Deleting","None"
"Zotero","87856","Move to Trash without Confirmation Dialog","shift+del","n/a","Zotero","Deleting","shift"
"Zotero","87857","Remove from Collection (top-level items)","n/a","del","Zotero","Deleting","None"
"Zotero","87858","Delete Collection (Keep Items in Library and Others Collections)","del","del","Zotero","Deleting","None"
"Zotero","87859","Delete Collection and Move Items to Trash","shift+del","shift+del","Zotero","Deleting","shift"
"Zotero","87860","Copy Selected Item Citations to Clipboard","ctrl+shift+a","shift+cmd+a","Zotero","Quick Copy","ctrl shift"
"Zotero","87861","Copy Selected Items to Clipboard","ctrl+shift+c","shift+cmd+c","Zotero","Quick Copy","ctrl shift"
"Zotero","87862","Focus Libraries (Left) Pane","ctrl+shift+l","shift+cmd+l","Zotero","Navigation","ctrl shift"
"Zotero","87863","Move through Panes and Fields","tab/shift+tab","tab","Zotero","Navigation","shift"
"Zotero","87864","Move through Info/Notes/Tags/Related Tabs","right or left or ctrl+tab or ctrl+shift+tab or ctrl+pagup or ctrl+pagedown","ctrl+pageup or ctrl+pagedown","Zotero","Navigation","ctrl shift"
"Zotero, Zotero, Zotero, Zotero","87865","Quick Search","ctrl+shift+k","shift+cmd+k","Zotero","Navigation","ctrl shift"
"Zotero, Zotero, Zotero, Zotero","87866","Quick Search","ctrl+f","cmd+f","Zotero","Navigation","ctrl"
"Zotero, Zotero, Zotero, Zotero","87867","Quick Search","ctrl+shift+k","shift+cmd+k","Zotero","Searching","ctrl shift"
"Zotero, Zotero, Zotero, Zotero","87868","Quick Search","ctrl+f","cmd+f","Zotero","Searching","ctrl"
"Zotero","87869","Find/Highlight Collection(s) an Item belongs to","hold down ctrl (windows) or alt (linux)","hold down alt","Zotero","Searching","ctrl alt"
"Zotero","87870","Toggle Tag Selector","ctrl+shift+t","shift+cmd+t","Zotero","Tags","ctrl shift"
"Zotero","87871","Assign Colored Tag to an Item","1 or 2 or 3 or 4 or 5 or 6","1 or 2 or 3 or 4 or 5 or 6","Zotero","Tags","None"
"Zotero","87872","Mark All Feed Items as Read/Unread","ctrl+shift+r","shift+cmd+r","Zotero","Feeds","ctrl shift"
"Zotero","87873","Mark Feed as Read/Unread","ctrl+shift+`","shift+cmd+`","Zotero","Feeds","ctrl shift"
"Zotero","87874","Expand/Collapse Collections or Items List","plus or -","plus or -","Zotero","Other","None"
"Zotero","87875","Highlight All Collections an Item is in","ctrl or alt","alt","Zotero","Other","ctrl alt"
"Zotero","87876","Count Items (Result Appears in Right-Hand Pane)","ctrl+a","cmd+a","Zotero","Other","ctrl"
"Zotero","87877","Edit Collection Names (Left Pane)","f2","n/a","Zotero","Other","None"
"Zotero","87878","Bold","ctrl+b","cmd+b","Zotero","Notes","ctrl"
"Zotero","87879","Italic","ctrl+i","cmd+i","Zotero","Notes","ctrl"
"Zotero","87880","Underline","ctrl+u","cmd+u","Zotero","Notes","ctrl"
"Zotero","87881","Select All","ctrl+a","cmd+a","Zotero","Notes","ctrl"
"Zotero","87882","Undo","ctrl+z","cmd+z","Zotero","Notes","ctrl"
"Zotero","87883","Redo","ctrl+y or ctrl+shift+z","cmd+y or shift+cmd+z","Zotero","Notes","ctrl shift"
"Zotero","87884","Cut","ctrl+x","cmd+x","Zotero","Notes","ctrl"
"Zotero","87885","Copy","ctrl+c","cmd+c","Zotero","Notes","ctrl"
"Zotero","87886","Paste","ctrl+v","cmd+v","Zotero","Notes","ctrl"
"Zotero","87887","Paste without formatting","ctrl+shift+v","shift+cmd+v","Zotero","Notes","ctrl shift"
"Zotero","87888","Format Heading 1 to 6","alt+shift+1/6","ctrl+alt+1/6","Zotero","Notes","alt shift"
"Zotero","87889","Format as Paragraph","alt+shift+7","ctrl+alt+7","Zotero","Notes","alt shift"
"Zotero","87890","Format as Div","alt+shift+8","ctrl+alt+8","Zotero","Notes","alt shift"
"Zotero","87891","Format as Address","alt+shift+9","ctrl+alt+9","Zotero","Notes","alt shift"
"Zotero","87892","Find and Replace","ctrl+f","cmd+f","Zotero","Notes","ctrl"
"Zotero","87893","Insert Link","ctrl+k","cmd+k","Zotero","Notes","ctrl"
"Zotero","87894","Focus/jump to toolbar","alt+f10","alt+f10","Zotero","Notes","alt"
