"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","197168","Save current file","ctrl+s","ctrl+s","nano","File handling","ctrl"
"","197169","Offer to write file (""Save as"")","ctrl+o","ctrl+o","nano","File handling","ctrl"
"","197170","Insert a file into current one","ctrl+r","ctrl+r","nano","File handling","ctrl"
"","197171","Close buffer, exit from nano","ctrl+x","ctrl+x","nano","File handling","ctrl"
"","197172","Cut current line into cutbuffer","ctrl+k","ctrl+k","nano","Editing","ctrl"
"","197173","Copy current line into cutbuffer","alt+6","alt+6","nano","Editing","alt"
"","197174","Paste contents of cutbuffer","ctrl+u","ctrl+u","nano","Editing","ctrl"
"","197175","Cut until end of buffer","alt+t","alt+t","nano","Editing","alt"
"","197176","Complete current word","ctrl+]","ctrl+]","nano","Editing","ctrl"
"","197177","Comment/uncomment line/region","alt+3","alt+3","nano","Editing","alt"
"","197178","Undo last action","alt+u","alt+u","nano","Editing","alt"
"","197179","Redo last undone action","alt+e","alt+e","nano","Editing","alt"
"","197180","Start backward search","ctrl+q","ctrl+q","nano","Search and replace","ctrl"
"","197181","Start forward search","ctrl+w","ctrl+w","nano","Search and replace","ctrl"
"","197182","Find next occurrence backward","alt+q","alt+q","nano","Search and replace","alt"
"","197183","Find next occurrence forward","alt+w","alt+w","nano","Search and replace","alt"
"","197184","Start a replacing session","alt+r","alt+r","nano","Search and replace","alt"
"","197185","Delete character before cursor","ctrl+h","ctrl+h","nano","Deletion","ctrl"
"","197186","Delete character under cursor","ctrl+d","ctrl+d","nano","Deletion","ctrl"
"","197187","Delete word to the left","alt+backspace","alt+backspace","nano","Deletion","alt"
"","197188","Delete word to the right","ctrl+del","ctrl+del","nano","Deletion","ctrl"
"","197189","Delete current line","alt+del","alt+del","nano","Deletion","alt"
"","197190","Execute some command","ctrl+t","ctrl+t","nano","Operations","ctrl"
"","197191","Justify paragraph or region","ctrl+j","ctrl+j","nano","Operations","ctrl"
"","197192","Justify entire buffer","alt+j","alt+j","nano","Operations","alt"
"","197193","Run a syntax check","alt+b","alt+b","nano","Operations","alt"
"","197194","Run a formatter/fixer/arranger","alt+f","alt+f","nano","Operations","alt"
"","197195","Start/stop recording of macro","alt+:","alt+:","nano","Operations","alt"
"","197196","Replay macro","alt+;","alt+;","nano","Operations","alt"
"","197197","One character backward","ctrl+b","ctrl+b","nano","Moving around","ctrl"
"","197198","One character forward","ctrl+f","ctrl+f","nano","Moving around","ctrl"
"","197199","One word backward","ctrl+left","ctrl+left","nano","Moving around","ctrl"
"","197200","One word forward","ctrl+right","ctrl+right","nano","Moving around","ctrl"
"","197201","To start of line","ctrl+a","ctrl+a","nano","Moving around","ctrl"
"","197202","To end of line","ctrl+e","ctrl+e","nano","Moving around","ctrl"
"","197203","One line up","ctrl+p","ctrl+p","nano","Moving around","ctrl"
"","197204","One line down","ctrl+n","ctrl+n","nano","Moving around","ctrl"
"","197205","To previous block","ctrl+up","ctrl+up","nano","Moving around","ctrl"
"","197206","To next block","ctrl+down","ctrl+down","nano","Moving around","ctrl"
"","197207","One page up","ctrl+y","ctrl+y","nano","Moving around","ctrl"
"","197208","One page down","ctrl+v","ctrl+v","nano","Moving around","ctrl"
"","197209","To top of buffer","alt+\","alt+\","nano","Moving around","alt"
"","197210","To end of buffer","alt+/","alt+/","nano","Moving around","alt"
"","197211","Go to specified line","alt+g","alt+g","nano","Special movement","alt"
"","197212","Go to complementary bracket","alt+]","alt+]","nano","Special movement","alt"
"","197213","Scroll viewport up","alt+up","alt+up","nano","Special movement","alt"
"","197214","Scroll viewport down","alt+down","alt+down","nano","Special movement","alt"
"","197215","Switch to preceding buffer","alt+<","alt+<","nano","Special movement","alt"
"","197216","Switch to succeeding buffer","alt+>","alt+>","nano","Special movement","alt"
"","197217","Report cursor position","ctrl+c","ctrl+c","nano","Information","ctrl"
"","197218","Report line/word/character count","alt+d","alt+d","nano","Information","alt"
"","197219","Display help text","ctrl+g","ctrl+g","nano","Information","ctrl"
"","197220","Turn the mark on/off","alt+a","alt+a","nano","Various","alt"
"","197221","Indent marked region","tab","tab","nano","Various","None"
"","197222","Unindent marked region","shift+tab","shift+tab","nano","Various","shift"
"","197223","Turn line numbers on/off","alt+n","alt+n","nano","Various","alt"
"","197224","Turn visible whitespace on/off","alt+p","alt+p","nano","Various","alt"
"","197225","Enter next keystroke verbatim","alt+v","alt+v","nano","Various","alt"
"","197226","Refresh the screen","ctrl+l","ctrl+l","nano","Various","ctrl"
"","197227","Suspend nano","ctrl+z","ctrl+z","nano","Various","ctrl"
