"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","197683","Start a new tmux session","""tmux""","""tmux""","tmux","General","Text Snippet"
"","197684","Detach from current session","""tmux detach""","""tmux detach""","tmux","General","Text Snippet"
"","197685","Attach to last used session","""tmux attach""","""tmux attach""","tmux","General","Text Snippet"
"","197686","Show every session, window, pane, etc.","""tmux info""","""tmux info""","tmux","General","Text Snippet"
"","197687","Send the prefix key","ctrl+b ctrl+b","ctrl+b ctrl+b","tmux","General","ctrl"
"","197688","Describe key binding","ctrl+b /","ctrl+b /","tmux","General","ctrl"
"","197689","Prompt for a command","ctrl+b :","ctrl+b :","tmux","General","ctrl"
"","197690","List key bindings","ctrl+b ?","ctrl+b ?","tmux","General","ctrl"
"","197691","Show a clock","ctrl+b t","ctrl+b t","tmux","General","ctrl"
"","197692","Show messages","ctrl+b ~","ctrl+b ~","tmux","General","ctrl"
"","197693","Delete the most recent paste buffer","ctrl+b -","ctrl+b -","tmux","General","ctrl"
"","197694","Choose a paste buffer from a list","ctrl+b =","ctrl+b =","tmux","General","ctrl"
"","197695","List all paste buffers","ctrl+b #","ctrl+b #","tmux","General","ctrl"
"","197696","Enter copy mode","ctrl+b [","ctrl+b [","tmux","General","ctrl"
"","197697","Enter copy mode and scroll up","ctrl+b pageup","ctrl+b pageup","tmux","General","ctrl"
"","197698","Paste the most recent paste buffer","ctrl+b ]","ctrl+b ]","tmux","General","ctrl"
"","197699","Split window vertically","ctrl+b ""","ctrl+b ""","tmux","Windows","ctrl"
"","197700","Split window horizontally","ctrl+b %","ctrl+b %","tmux","Windows","ctrl"
"","197701","Kill current window","ctrl+b &","ctrl+b &","tmux","Windows","ctrl"
"","197702","Prompt for window index to select","ctrl+b '","ctrl+b '","tmux","Windows","ctrl"
"","197703","Rename current window","ctrl+b ,","ctrl+b ,","tmux","Windows","ctrl"
"","197704","Move the current window","ctrl+b .","ctrl+b .","tmux","Windows","ctrl"
"","197705","Select window 0","ctrl+b 0","ctrl+b 0","tmux","Windows","ctrl"
"","197706","Select window 1","ctrl+b 1","ctrl+b 1","tmux","Windows","ctrl"
"","197707","Select window 2","ctrl+b 2","ctrl+b 2","tmux","Windows","ctrl"
"","197708","Select window 3","ctrl+b 3","ctrl+b 3","tmux","Windows","ctrl"
"","197709","Select window 4","ctrl+b 4","ctrl+b 4","tmux","Windows","ctrl"
"","197710","Select window 5","ctrl+b 5","ctrl+b 5","tmux","Windows","ctrl"
"","197711","Select window 6","ctrl+b 6","ctrl+b 6","tmux","Windows","ctrl"
"","197712","Select window 7","ctrl+b 7","ctrl+b 7","tmux","Windows","ctrl"
"","197713","Select window 8","ctrl+b 8","ctrl+b 8","tmux","Windows","ctrl"
"","197714","Select window 9","ctrl+b 9","ctrl+b 9","tmux","Windows","ctrl"
"","197715","Display window information","ctrl+b i","ctrl+b i","tmux","Windows","ctrl"
"","197716","Create a new window","ctrl+b c","ctrl+b c","tmux","Windows","ctrl"
"","197717","Select the next window","ctrl+b n","ctrl+b n","tmux","Windows","ctrl"
"","197718","Move the visible part of the window up","ctrl+b shift+up","ctrl+b shift+up","tmux","Windows","ctrl shift"
"","197719","Move the visible part of the window down","ctrl+b shift+down","ctrl+b shift+down","tmux","Windows","ctrl shift"
"","197720","Move the visible part of the window left","ctrl+b shift+left","ctrl+b shift+left","tmux","Windows","ctrl shift"
"","197721","Move the visible part of the window right","ctrl+b shift+right","ctrl+b shift+right","tmux","Windows","ctrl shift"
"","197722","Select the next window with an alert","ctrl+b alt+n","ctrl+b alt+n","tmux","Windows","ctrl alt"
"","197723","Select the previous window with an alert","ctrl+b alt+p","ctrl+b alt+p","tmux","Windows","ctrl alt"
"","197724","Choose a window from a list","ctrl+b w","ctrl+b w","tmux","Windows","ctrl"
"","197725","Select the previously current window","ctrl+b l","ctrl+b l","tmux","Windows","ctrl"
"","197726","Break pane to a new window","ctrl+b !","ctrl+b !","tmux","Panes","ctrl"
"","197727","Rotate through the panes","ctrl+b ctrl+o","ctrl+b ctrl+o","tmux","Panes","ctrl"
"","197728","Select the pane above the active pane","ctrl+b up","ctrl+b up","tmux","Panes","ctrl"
"","197729","Select the pane below the active pane","ctrl+b down","ctrl+b down","tmux","Panes","ctrl"
"","197730","Select the pane to the left of the active pane","ctrl+b left","ctrl+b left","tmux","Panes","ctrl"
"","197731","Select the pane to the right of the active pane","ctrl+b right","ctrl+b right","tmux","Panes","ctrl"
"","197732","Move to the previously active pane","ctrl+b ;","ctrl+b ;","tmux","Panes","ctrl"
"","197733","Clear the marked pane","ctrl+b m","ctrl+b m","tmux","Panes","ctrl"
"","197734","Search for a pane","ctrl+b f","ctrl+b f","tmux","Panes","ctrl"
"","197735","Kill the active pane","ctrl+b x","ctrl+b x","tmux","Panes","ctrl"
"","197736","Zoom the active pane","ctrl+b z","ctrl+b z","tmux","Panes","ctrl"
"","197737","Swap the active pane with the pane above","ctrl+b {","ctrl+b {","tmux","Panes","ctrl"
"","197738","Swap the active pane with the pane below","ctrl+b }","ctrl+b }","tmux","Panes","ctrl"
"","197739","Rotate through the panes in reverse","ctrl+b alt+o","ctrl+b alt+o","tmux","Panes","ctrl alt"
